district,Farm Credit,Agriculture Infra,Ancillary,Total
Aizawl,7475.0,11.0,64.0,15962.0
Champhai,540.0,0.0,29.0,4646.0
Hnahthial,209.0,0.0,0.0,944.0
Khawzawl,439.0,0.0,0.0,2264.0
Kolasib,819.0,29.0,34.0,5492.0
Lawngtlai,864.0,0.0,1.0,3850.0
Lunglei,462.0,0.0,2.0,5463.0
Mamit,476.0,0.0,1.0,3115.0
Saiha,761.0,0.0,0.0,4009.0
Saitual,289.0,0.0,0.0,2332.0
Serchhip,552.0,0.0,0.0,3837.0
