District,Block Name,Rural No.,Urban No.,Male No.,Female No.,No. of Zero Balance A/C,Amt. Deposits held in the A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Aizawl,Tlangnuam,34092.0,56335.0,28651.0,31117.0,10841.0,8145.98,37299.0,23508.0,36634.0
Champhai,Khawbung,6607.0,0.0,2945.0,3662.0,408.0,316.37,1150.0,922.0,3692.0
Hnahthial,Hnahthial,7436.0,0.0,4715.0,2721.0,266.0,324.32,3088.0,2415.0,4025.0
Khawzawl,Khawzawl,13576.0,7448.0,5573.0,8169.0,1709.0,691.09,3102.0,2333.0,7616.0
Kolasib,N. Thingdawl,6729.0,1391.0,2546.0,4183.0,437.0,317.61,2021.0,1550.0,4051.0
Lawngtlai,Sangau,9038.0,0.0,4377.0,4661.0,1211.0,280.87,2016.0,1458.0,4511.0
Lunglei,W. Bunghmun,930.0,0.0,443.0,487.0,236.0,57.7,250.0,173.0,729.0
Mamit,Zawlnuam,10432.0,0.0,4544.0,5888.0,1077.0,355.75,2406.0,1707.0,5784.0
Saiha,Tuipang,8173.0,0.0,3904.0,4269.0,1291.0,357.06,1276.0,704.0,1918.0
Saitual,Phullen,11182.0,5470.0,4542.0,6640.0,1259.0,562.89,1887.0,1454.0,6686.0
Serchhip,Serchhip,11985.0,6777.0,5691.0,6932.0,605.0,752.32,3492.0,2094.0,7846.0
