District,Block Name,Small & Marginal Farmers,Scheduled Castes,Scheduled Tribes,DRI Scheme,Self Help Groups,Women Beneficiaries,Minority Communities,PMJDY,Others,Total
Aizawl,Tlangnuam,13010.0,105.0,24415.0,3.0,48.0,7162.0,13232.0,116.0,1487.0,59578.0
Champhai,Khawbung,874.0,0.0,0.0,0.0,221.0,200.0,127.0,0.0,5.0,1427.0
Hnahthial,Hnahthial,716.0,1.0,156.0,0.0,4.0,115.0,210.0,0.0,0.0,1202.0
Khawzawl,Khawzawl,1245.0,0.0,219.0,0.0,183.0,236.0,152.0,0.0,0.0,2035.0
Kolasib,N. Thingdawl,1618.0,0.0,0.0,0.0,168.0,259.0,0.0,0.0,0.0,2045.0
Lawngtlai,Sangau,630.0,0.0,0.0,0.0,81.0,77.0,0.0,0.0,0.0,788.0
Lunglei,W Bunghmun,332.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,371.0
Mamit,Zawlnuam,880.0,0.0,710.0,0.0,145.0,267.0,300.0,0.0,1.0,2303.0
Saiha,Tuipang,384.0,0.0,0.0,0.0,119.0,25.0,0.0,0.0,0.0,528.0
Saitual,Phullen,877.0,0.0,38.0,0.0,0.0,151.0,0.0,0.0,0.0,1066.0
Serchhip,Serchhip,1853.0,0.0,280.0,0.0,168.0,381.0,361.0,0.0,44.0,3087.0
