District,Block Name,Sishu,Kishore,Tarun,TOTAL
Aizawl,Tlangnuam,4305.0,3374.0,884.0,8563.0
Champhai,Khawbung,42.0,77.0,5.0,124.0
Hnahthial,Hnahthial,111.0,32.0,4.0,147.0
Khawzawl,Khawzawl,134.0,233.0,15.0,382.0
Kolasib,N. Thingdawl,105.0,178.0,6.0,289.0
Lawngtlai,Sangau,3.0,131.0,0.0,134.0
Lunglei,W Bunghmun,12.0,135.0,0.0,147.0
Mamit,Zawlnuam,181.0,356.0,18.0,555.0
Saiha,Tuipang,34.0,51.0,0.0,85.0
Saitual,Phullen,28.0,291.0,4.0,323.0
Serchhip,Serchhip,206.0,448.0,26.0,680.0
