District,Total Deposit,Total Advance,Overall CD Ratio
Aizawl,45024.21,14641.41,32.52
Champhai,7729.46,3586.6,46.4
Hnahthial,15514.42,5182.86,33.41
Khawzawl,3995.93,2852.12,71.38
Kolasib,13864.22,8331.64,60.09
Lawngtlai,11088.72,9531.05,85.95
Lunglei,7929.63,4351.6,54.88
Mamit,24164.16,14406.68,59.62
Saiha,3401.19,2330.73,68.53
Saitual,6507.28,4420.95,67.94
Serchhip,21565.25,9802.81,45.46
