District,Block Name,PMJJBY,PMSBY,Enrolment Under APY,Total Enrolment
Aizawl,Tlangnuam,37417.0,57215.0,4411.0,99043.0
Champhai,Khawbung,2645.0,2554.0,183.0,5382.0
Hnahthial,Hnahthial,1303.0,2033.0,132.0,3468.0
Khawzawl,Khawzawl,2927.0,4200.0,265.0,7392.0
Kolasib,N. Thingdawl,3572.0,3644.0,372.0,7588.0
Lawngtlai,Sangau,980.0,478.0,44.0,1502.0
Lunglei,W. Bunghmun,633.0,813.0,74.0,1520.0
Mamit,Zawlnuam,3541.0,6392.0,203.0,10136.0
Saiha,Tuipang,1214.0,1214.0,140.0,2568.0
Saitual,Phullen,1185.0,759.0,118.0,2062.0
Serchhip,Serchhip,4970.0,7274.0,523.0,12767.0
