District,Agriculture (PS),Msme (PS),Other PS (PS),TOTAL (PS),Non-Priority Sector
Aizawl,7903,6046,1386,15335,5209
Champhai,2577,698,563,3838,173
Hnahthial,904,465,127,1496,103
Khawzawl,1274,351,516,2141,119
Kolasib,4211,1743,779,6733,272
Lawngtlai,2384,894,126,3404,699
Lunglei,2102,850,280,3232,705
Mamit,2997,743,736,4476,295
Saiha,2083,491,74,2648,400
Saitual,0,0,0,0,0
Serchhip,3869,1390,616,5875,281
