District,Block Name,Savings Linked,Credit Linked,CY Savings Linked,CY Credit Linked
Aizawl,Tlangnuam,77.0,16.0,84.0,53.0
Champhai,Khawbung,29.0,11.0,93.0,222.0
Hnahthial,Hnahthial,5.0,0.0,6.0,4.0
Khawzawl,Khawzawl,13.0,21.0,63.0,190.0
Kolasib,N. Thingdawl,2.0,31.0,44.0,168.0
Lawngtlai,Sangau,0.0,35.0,14.0,81.0
Lunglei,W. Bunghmun,0.0,0.0,0.0,0.0
Mamit,Zawlnuam,25.0,5.0,68.0,145.0
Saiha,Tuipang,0.0,0.0,37.0,119.0
Saitual,Phullen,2.0,0.0,2.0,0.0
Serchhip,Serchhip,25.0,17.0,71.0,174.0
