district,Block Name,KCC,Farm Production,Dairy,Farm Mechanisationn,Poultry,Fisheries,Godown,Clinic,Other
Aizawl,Tlangnuam,1807.0,0.0,21.0,2.0,34.0,0.0,4.0,0.0,594.0
Champhai,Khawbung,284.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,373.0
Hnahthial,Hnahthial,310.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,62.0
Khawzawl,Khawzawl,473.0,0.0,2.0,6.0,3.0,1.0,0.0,0.0,418.0
Kolasib,N. Thingdawl,740.0,0.0,1.0,5.0,12.0,0.0,0.0,0.0,335.0
Lawngtlai,Sangau,182.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,178.0
Lunglei,W. Bunghmun,188.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0
Mamit,Zawlnuam,177.0,0.0,1.0,84.0,0.0,1.0,0.0,0.0,155.0
Saiha,Tuipang,90.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,147.0
Saitual,Phullen,431.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,173.0
Serchhip,Serchhip,562.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,384.0
