district,Block Name,Progressunder KCC,Progressunder KCC for Animal Husbandary,Progressunder KCC for Fisheries
Aizawl,Tlangnuam,873.0,636.0,0.0
Champhai,Khawbung,147.0,96.0,1.0
Hnahthial,Hnahthial,218.0,135.0,0.0
Khawzawl,Khawzawl,252.0,174.0,0.0
Kolasib,N. Thingdawl,132.0,117.0,0.0
Lawngtlai,Sangau,15.0,15.0,0.0
Lunglei,W Bunghmun,47.0,47.0,0.0
Mamit,Zawlnuam,190.0,101.0,1.0
Saiha,Tuipang,24.0,24.0,0.0
Saitual,Phullen,217.0,134.0,2.0
Serchhip,Serchhip,381.0,195.0,7.0
