district,Block Name,Crop Loan,Forestry & Wasteland Dev,Water Resources,Farm Mechanization,Plantation & Horticulture,Animal Husbandry,Fishery,Farm Credit Others,Agri. Infra.,Ancillary Activities,Total
Aizawl,Tlangnuam,1061.0,0.0,0.0,0.0,68.0,1462.0,0.0,707.0,4.0,17.0,3319.0
Champhai,Khawbung,145.0,0.0,0.0,0.0,16.0,246.0,3.0,333.0,0.0,1.0,744.0
Hnahthial,Hnahthial,174.0,0.0,0.0,0.0,1.0,260.0,0.0,70.0,0.0,0.0,505.0
Khawzawl,Khawzawl,160.0,0.0,0.0,0.0,5.0,456.0,1.0,371.0,0.0,0.0,993.0
Kolasib,N. Thingdawl,112.0,0.0,0.0,0.0,3.0,721.0,0.0,285.0,0.0,0.0,1121.0
Lawngtlai,Sangau,0.0,0.0,0.0,0.0,0.0,210.0,0.0,152.0,0.0,0.0,362.0
Lunglei,W. Bunghmun,5.0,0.0,0.0,0.0,0.0,186.0,0.0,16.0,0.0,0.0,207.0
Mamit,Zawlnuam,227.0,0.0,0.0,0.0,3.0,151.0,1.0,209.0,0.0,1.0,592.0
Saiha,Tuipang,5.0,0.0,0.0,0.0,0.0,136.0,0.0,134.0,0.0,0.0,275.0
Saitual,Phullen,54.0,0.0,0.0,0.0,2.0,477.0,2.0,90.0,0.0,0.0,625.0
Serchhip,Serchhip,319.0,0.0,0.0,0.0,12.0,567.0,6.0,296.0,0.0,0.0,1200.0
