District,Block Name,KCC,Farm Production,Dairy,Farm Mechanisation,Poultry,Fisheries,Godown,Clinic,Other
Aizawl,Tlangnuam,2717.0,0.0,294.0,46.0,211.0,1.0,4.0,0.0,2929.0
Champhai,Khawbung,343.0,0.0,4.0,4.0,5.0,1.0,0.0,0.0,720.0
Hnahthial,Hnahthial,429.0,0.0,95.0,2.0,1.0,0.0,0.0,0.0,252.0
Khawzawl,Khawzawl,783.0,0.0,118.0,20.0,26.0,1.0,0.0,0.0,1164.0
Kolasib,N. Thingdawl,1031.0,0.0,113.0,13.0,40.0,0.0,0.0,0.0,856.0
Lawngtlai,Sangau,249.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,374.0
Lunglei,W. Bunghmun,241.0,0.0,8.0,4.0,5.0,0.0,0.0,0.0,63.0
Mamit,Zawlnuam,521.0,0.0,9.0,97.0,17.0,1.0,0.0,0.0,649.0
Saiha,Tuipang,147.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,384.0
Saitual,Phullen,739.0,0.0,20.0,19.0,9.0,0.0,0.0,0.0,607.0
Serchhip,Serchhip,784.0,0.0,218.0,19.0,9.0,0.0,0.0,0.0,928.0
