District,Block Name,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZORO- ASTRIANS,JAINS
Aizawl,Tlangnuam,45535.0,115.0,42.0,11.0,0.0,1.0
Champhai,Khawbung,1369.0,0.0,0.0,1.0,0.0,0.0
Hnahthial,Hnahthial,1350.0,1.0,3.0,0.0,0.0,0.0
Khawzawl,Khawzawl,3097.0,0.0,0.0,0.0,0.0,0.0
Kolasib,N. Thingdawl,6076.0,0.0,2.0,0.0,0.0,0.0
Lawngtlai,Sangau,1409.0,0.0,0.0,0.0,0.0,0.0
Lunglei,W. Bunghmun,570.0,0.0,2.0,0.0,0.0,0.0
Mamit,Zawlnuam,2902.0,5.0,6.0,1.0,0.0,0.0
Saiha,Tuipang,1043.0,0.0,0.0,0.0,0.0,0.0
Saitual,Phullen,2187.0,0.0,0.0,0.0,0.0,0.0
Serchhip,Serchhip,4295.0,2.0,2.0,1.0,0.0,0.0
