District,FLC Code,S.Noofcamp,Dateofcamp,Block,Village,Noofparticipants,Stakeholderspresent (Indicate Y/N)
Aizawl,032,21,22.03.2021,Tlangnuam,Zotlang,15,1
Hnahthial,032,2,15.01.2021,Hnahthial,MRB Hnahthial,18,Y
Lunglei,032,7,12.02.2021,Lunglei,Vanhne,14,Y
Mamit,032,1,18.01.2021,Zawlnuam,MRB Mamit,23,P
Saitual,032,11,6.01.2021,Saitual,Dilkhan,55,1
Serchhip,032,20,18.03.2021,Serchhip,Serchhip,25,1
