District,Housing Loan Priority Sector Outstanding,Housing Loan Non-Priority Sector Outstanding,Rural Housing Loan Outstanding,Housing Loan Eligibleunder PMAY Outstanding,Current Year Disbursedunder PMAY,PMAY Outstanding
Aizawl,6534.0,1702.0,913.0,759.0,154.0,767.0
Champhai,688.0,98.0,102.0,171.0,28.0,171.0
Hnahthial,162.0,57.0,71.0,42.0,24.0,42.0
Khawzawl,225.0,35.0,52.0,66.0,37.0,66.0
Kolasib,780.0,95.0,144.0,196.0,48.0,196.0
Lawngtlai,2464.0,117.0,623.0,125.0,39.0,125.0
Lunglei,2149.0,217.0,501.0,351.0,108.0,351.0
Mamit,457.0,47.0,206.0,106.0,37.0,106.0
Saiha,1723.0,115.0,274.0,88.0,28.0,88.0
Saitual,202.0,16.0,56.0,28.0,8.0,28.0
Serchhip,754.0,78.0,146.0,267.0,105.0,267.0
