District,Agriculture,MSME,Others,Total
Aizawl,15962.0,28315.0,6434.0,50711.0
Champhai,4646.0,1849.0,718.0,7213.0
Hnahthial,944.0,225.0,162.0,1331.0
Khawzawl,2264.0,704.0,196.0,3164.0
Kolasib,5492.0,5931.0,819.0,12242.0
Lawngtlai,3850.0,1983.0,2486.0,8319.0
Lunglei,5463.0,3348.0,2141.0,10952.0
Mamit,3115.0,1751.0,466.0,5332.0
Saiha,4009.0,1292.0,1724.0,7025.0
Saitual,2332.0,828.0,142.0,3302.0
Serchhip,3837.0,1921.0,750.0,6508.0
