district,Block Name,SISHU,KISHORE,TARUN,Total
Aizawl,Tlangnuam,1846.0,1696.0,316.0,3858.0
Champhai,Khawbung,21.0,20.0,4.0,45.0
Hnahthial,Hnahthial,83.0,15.0,4.0,102.0
Khawzawl,Khawzawl,59.0,55.0,7.0,121.0
Kolasib,N. Thingdawl,18.0,7.0,4.0,29.0
Lawngtlai,Sangau,0.0,3.0,0.0,3.0
Lunglei,W. Bunghmun,3.0,66.0,0.0,69.0
Mamit,Zawlnuam,57.0,81.0,8.0,146.0
Saiha,Tuipang,1.0,2.0,0.0,3.0
Saitual,Phullen,15.0,48.0,2.0,65.0
Serchhip,Serchhip,100.0,94.0,15.0,209.0
