district,AIZAWL (MIZORAM),AIZAWL (MIZORAM),AIZAWL (MIZORAM)
Axis,17,17,17
BANDHAN,0,0,0
BOB,0,0,0
BOI,0,0,0
BOM,0,0,0
"Bank
Name",For non-customers,For non-customers,For non-customers
CANARA,0,0,0
CBI,2,2,2
FED,0,0,0
HDFC,49,49,49
ICICI BANK,0,0,0
IDBI,0,0,0
IND,0,0,0
INDUSIND,0,0,0
IOB,0,0,0
MCAB,0,0,0
MZRB,2,2,2
Month:,"MARCH, 2021","MARCH, 2021","MARCH, 2021"
NESFB,0,0,0
Nodal Bank:,STATE BANK OF INDIA,STATE BANK OF INDIA,STATE BANK OF INDIA
P&SB,0,0,0
PNB,0,0,0
SBI,0,0,0
SIB,0,0,0
UCO,0,0,0
UNION,0,0,0
YES,0,0,0
