district,Block Name,SHG No.,SHG AMT
Aizawl,Tlangnuam,22.0,31.02
Champhai,Khawbung,139.0,278.84
Hnahthial,Hnahthial,0.0,0.0
Khawzawl,Khawzawl,117.0,237.93
Kolasib,N. Thingdawl,148.0,320.36
Lawngtlai,Sangau,81.0,92.63
Lunglei,W. Bunghmun,0.0,0.0
Mamit,Zawlnuam,96.0,168.82
Saiha,Tuipang,119.0,125.21
Saitual,Phullen,0.0,0.0
Serchhip,Serchhip,156.0,386.92
