District,Block Name,CHRISTIANS,MUSLIMS,BUDDHISTS,SIKHS,ZOROASTRIANS,JAINS,TOTAL
Aizawl,Tlangnuam,14023.0,68.0,25.0,10.0,0.0,0.0,14126.0
Champhai,Khawbung,770.0,0.0,0.0,1.0,0.0,0.0,771.0
Hnahthial,Hnahthial,651.0,1.0,2.0,0.0,0.0,0.0,654.0
Khawzawl,Khawzawl,1230.0,0.0,0.0,0.0,0.0,0.0,1230.0
Kolasib,N. Thingdawl,2155.0,0.0,1.0,0.0,0.0,0.0,2156.0
Lawngtlai,Sangau,630.0,0.0,0.0,0.0,0.0,0.0,630.0
Lunglei,W. Bunghmun,332.0,0.0,0.0,0.0,0.0,0.0,332.0
Mamit,Zawlnuam,804.0,5.0,2.0,1.0,0.0,0.0,812.0
Saiha,Tuipang,384.0,0.0,0.0,0.0,0.0,0.0,384.0
Saitual,Phullen,911.0,0.0,0.0,0.0,0.0,0.0,911.0
Serchhip,Serchhip,1720.0,2.0,2.0,1.0,0.0,0.0,1725.0
