District,Block Name,Disb No.,Disb Amt,OS No.,OS Amt
Aizawl,Tlangnuam,128.0,185.85,1948.0,559.69
Champhai,Khawbung,0.0,0.0,0.0,0.0
Hnahthial,Hnahthial,1.0,6.0,27.0,50.3
Khawzawl,Khawzawl,0.0,0.0,2.0,1.22
Kolasib,N. Thingdawl,0.0,0.0,1487.0,263.22
Lawngtlai,Sangau,1.0,5.0,31.0,18.13
Lunglei,W. Bunghmun,0.0,0.0,1.0,1.34
Mamit,Zawlnuam,1.0,5.0,53.0,30.82
Saiha,Tuipang,0.0,0.0,0.0,0.0
Saitual,Phullen,0.0,0.0,12.0,18.83
Serchhip,Serchhip,1.0,2.0,18.0,23.8
