district,Micro,Small,Medium,KVIC,Others,Total
Aizawl,2309.0,49.0,1.0,188.0,4.0,2551.0
Champhai,219.0,1.0,0.0,18.0,0.0,238.0
Hnahthial,8.0,0.0,0.0,0.0,0.0,8.0
Khawzawl,93.0,3.0,0.0,0.0,0.0,96.0
Kolasib,422.0,0.0,0.0,10.0,0.0,432.0
Lawngtlai,287.0,1.0,0.0,25.0,0.0,313.0
Lunglei,376.0,17.0,0.0,20.0,0.0,413.0
Mamit,225.0,0.0,0.0,4.0,0.0,229.0
Saiha,453.0,2.0,0.0,52.0,0.0,507.0
Saitual,45.0,0.0,0.0,5.0,0.0,50.0
Serchhip,258.0,0.0,0.0,1.0,0.0,259.0
