district,period,acp_outstanding__a_c,acp_outstanding__amt,acp_target_achievement__ach,acp_target_achievement__achivemen,acp_target_achievement__achivemen_t,acp_target_achievement__achivement,acp_target_achievement__district_name,acp_target_achievement__t,acp_target_achievement__target,apy__aapb_achieved_in_current_fy,apy__achievement,apy__annual_target,apy__annual_target_achievem_ent_in_current_fy,apy__annual_target_achievement_in_current_fy,apy__annual_target_achievement_in_current_fy_2024_25,apy__apy_accounts_opened_in_current_fy,apy__apy_accounts_opened_in_current_fy_2024_25,apy__apy_accounts_opened_in_current_fy_2025_26,apy__coverage,apy__cumulative_apy_accounts_opened_since_inception,apy__district_name,apy__name_of_the_district,apy__no_of_branch_es,apy__no_of_branches,apy__no_of_branches_as_on_01_04_2023,atm_network__district_name,atm_network__rural,atm_network__semi_urban,atm_network__total,atm_network__urban,branch_network__district_name,branch_network__rural,branch_network__semi_urban,branch_network__total,branch_network__urban,cd_ratio__advances,cd_ratio__branch,cd_ratio__deposit,cd_ratio__deposits,cd_ratio__district_name,cd_ratio__rural,cd_ratio__semi_urban,cd_ratio__total,cd_ratio__urban,credit_deposit_ratio__cd_ratio,deaf__axis,deaf__cb,deaf__idbi,deaf__kotak,deaf__sbi,deaf__total,pmegp__102,pmegp__113,pmegp__1171_87,pmegp__1265_52,pmegp__131,pmegp__1327_71,pmegp__1343,pmegp__144,pmegp__1691_60,pmegp__1725_84,pmegp__18,pmegp__180,pmegp__192,pmegp__1940_01,pmegp__197,pmegp__1983_78,pmegp__2,pmegp__200,pmegp__2067_83,pmegp__208,pmegp__212_78,pmegp__217,pmegp__242,pmegp__251,pmegp__265,pmegp__2760_59,pmegp__280,pmegp__288_50,pmegp__3010_35,pmegp__313,pmegp__339_7,pmegp__367_99,pmegp__399,pmegp__415,pmegp__418,pmegp__431,pmegp__46,pmegp__471,pmegp__502,pmegp__515_21,pmegp__53,pmegp__558_19,pmegp__570_23,pmegp__583_79,pmegp__619_14,pmegp__6946_76,pmegp__790_46,pmegp__796_35,pmegp__80,pmegp__81,pmegp__827_26,pmegp__831_42,pmegp__872_22,pmegp__88_63,pmegp__961_93,pmegp__987_34,pmegp__bangalore,pmegp__dakshin_kannad,pmegp__m_m_subsidy,pmegp__no_of_proj,pmegp_outstanding__amt,pmegp_outstanding__no,pmfme__application_submitted_to_bank,pmfme__loan_disbursed,pmfme__loan_rejections,pmfme__loan_sanctions,pmfme__loans_under_process,pmfme__target_in_fy2023_24,pmfme__target_in_fy2024_25,pmfme__target_in_fy2025_26,pmfme__total_application,pmfme__total_application_received,pmfme__total_applications,pmfme__total_loan_disbursed,pmfme__total_loan_rejections,pmfme__total_loan_sanctions,pmfme__total_loan_under_process,pmmy_mudra__102459,pmmy_mudra__116785,pmmy_mudra__1298_44,pmmy_mudra__1303_18,pmmy_mudra__157894,pmmy_mudra__1_1,pmmy_mudra__258_72,pmmy_mudra__258_99,pmmy_mudra__268_15,pmmy_mudra__270_79,pmmy_mudra__3172,pmmy_mudra__321_14,pmmy_mudra__323_96,pmmy_mudra__357_28,pmmy_mudra__357_69,pmmy_mudra__37615,pmmy_mudra__3814,pmmy_mudra__447_58,pmmy_mudra__448_88,pmmy_mudra__51621,pmmy_mudra__620_02,pmmy_mudra__621_53,pmmy_mudra__75998,pmmy_mudra__974_45,pmmy_mudra__978_66,pmmy_mudra__account,pmmy_mudra__amount,pmmy_mudra__bagalkot,uncategorized__1,uncategorized__101,uncategorized__1660,uncategorized__1670,uncategorized__2,uncategorized__5010,uncategorized__5390,uncategorized__93,uncategorized__allotted_bank_based_on_urban_rural_branches,uncategorized__amt_in_lakhs,uncategorized__avg_of_pmjjby_opened_per_gp,uncategorized__avg_of_pmsby_opened_per_gp,uncategorized__bangalore,uncategorized__karnataka,uncategorized__ldm_opinoin_to_open_branch_yes_no,uncategorized__name_of_village,uncategorized__no,uncategorized__no_of_a_c,uncategorized__opened,uncategorized__pmjjby,uncategorized__pmsby,uncategorized__remarks_by_ldms,uncategorized__sourced,uncategorized__taluka_name,uncategorized__total_no_of_gp_updated_in_portal,uncategorized__total_no_of_gps,uncategorized__total_population,uncategorized__village_code
Ramanagara,December 2023,,,,,,,,,,,,13760,,39,,5349,,,,53494,,RAMANAGARA,,,157,RAMANAGARA,167,115,286,4,RAMANAGARA,110,90,203,3,,203,,,,8367.97,5131.6,13931.44,431.87,117.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,19,2,225,,,,,188,46,39,50,16,,88560,,,,1.26,217.14,217.7,76.94,77.77,979,,,,,30936,,310.66,312.77,,,,56645,604.74,608.23,,,Ramanagara,1.3,,,,,,,,,,,,,RAMANAGARA,,,,,,,,,,,,,,
Shivamogga,December 2023,,,,,,,,,,,,25250,,51,,12996,,,,101956,,SHIVAMOGGA,,,288,SHIVAMOGGA,96,74,439,269,SHIVAMOGGA,157,62,351,132,,351,,,,4649.17,3435.21,18197.99,10113.61,62.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,84,5,250,,,,,404,183,34,200,29,,124250,,,,1.27,280.47,280.69,251.81,254.55,3059,,,,,39473,,525.79,529.79,,,,81718,1058.08,1065.02,,,Shimoga,1.3,,,,,,,,,,,,,SHIVAMOGGA,,,,,,,,,,,,,,
Tumakuru,December 2023,,,,,,,,,,,,27940,,64,,17847,,,,117236,,TUMAKURU,,,311,TUMAKURU,77,139,464,248,TUMAKURU,200,121,416,95,,416,,,,5756.42,5740.07,19900.09,8403.6,100.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,74,14,225,,,,,536,123,119,159,49,,212819,,,,1.28,487.08,487.8,182.24,183.35,2364,,,,,79958,,800.69,801.86,,,,130497,1470.01,1473.01,,,Tumkur,1.3,,,,,,,,,,,,,TUMAKURU,,,,,,,,,,,,,,
Udupi,December 2023,,,,,,,,,,,,32550,,39,,12630,,,,105733,,UDUPI,,,410,UDUPI,177,120,505,208,UDUPI,234,88,428,106,,428,,,,6693.59,4631.27,18328.07,7003.21,48.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,67,1,225,,,,,318,119,27,142,30,,39244,,,,1.29,65.41,65.58,156.82,158.25,1937,,,,,14256,,265.27,266.34,,,,23051,487.5,490.17,,,Udupi,1.3,,,,,,,,,,,,,UDUPI,,,,,,,,,,,,,,
Uttara Kannada,December 2023,,,,,,,,,,,,25330,,49,,12489,,,,90016,,UTTARA KANNADA,,,320,UTTARA KANNADA,66,223,302,13,UTTARA KANNADA,158,161,341,22,,341,,,,1691.89,5467.5,9724.06,2564.67,44.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,56,0,225,,,,,210,103,10,112,12,,72060,,,,1.3,137.83,138.12,197.86,198.58,2303,,,,,25487,,415.83,417.01,,,,44270,751.52,753.71,,,Uttara Kannada,1.3,,,,,,,,,,,,,UTTARA KANNADA,,,,,,,,,,,,,,
Vijayapura,December 2023,,,,,,,,,,,,22380,,88,,19770,,,,107619,,VIJAYAPURA,,,271,VIJAYAPURA,33,98,294,163,VIJAYAPURA,133,98,325,94,,325,,,,4302.02,5079.26,16454.55,7073.27,98.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,80,13,200,,,,,890,141,148,175,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,VIJAYAPURA,,,,,,,,,,,,,,
Yadgir,December 2023,,,,,,,,,,,,11490,,91,,10508,,,,64762,,YADGIR,,,125,YADGIR,16,91,108,1,YADGIR,49,68,122,5,,122,,,,1288.46,3822.22,5308.55,197.87,132.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,16,10,188,,,,,220,37,44,41,30,,49796,,,,1.32,123.53,123.57,50.68,50.98,637,,,,,13360,,143.16,144.24,,,,35799,317.37,318.79,,,Yadgir,1.3,,,,,,,,,,,,,YADGIR,,,,,,,,,,,,,,
Bagalkote,March 2024,,,,,,,,,,82,,22360,93%,,,20846,,,,104460,,BAGALKOTE,253,,,BAGALKOTE,52,165,301,84,BAGALKOTE,135,151,346,60,16837.15,,,16026.56,BAGALKOTE,,,,,105.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,BAGALKOTE,,,,,,,,,,,,,,
Ballari,March 2024,,,,,,,,,,83,,26860,93%,,,24964,,,,151165,,BALLARI,299,,,BALLARI,18,81,257,158,BALLARI,69,57,224,98,15859.23,,,17143.52,BALLARI,,,,,92.51,,,,,,,,,,,,123.87,1232,,431.25,,,,,,75,780.25,5,,1728.40,,,,,,221,500.29,,,630.73,,,,,285,,282,,281,727,,,,,,,3068.80,,,,,,,,,,,BELLARY,,,,,,,,,,,,,,,,,,,,,149451,,1572.43,1576.73,224233,1.5,,,,,,240.43,241.3,509.5,509.88,,2948,,,71834,822.5,825.55,,,,,,Bellary,1.5,,,,,,,,,,,,,BELLARY,,,,,,,,,,,,,,
Bengaluru Rural,March 2024,,,,,,,,,,39,,24330,47%,,,11462,,,,91383,,BENGALURU RURAL,293,,,BENGALURU RURAL,95,206,332,31,BENGALURU RURAL,118,131,254,5,18245,,,17461.86,BENGALURU RURAL,,,,,104.48,,,,,,,,,,,,440.31,486,,593.86,,,,,,72,693.89,3,,1005.02,,,,,,111,976.90,,,1006.90,,,,,117,,173,,168,229,,,,,,,2564.71,,,,,,,,,,,BANGALORE RURAL,,,,,,,,,,,,,,,,,,,,,93970,,912.84,918.53,130187,1.2,,,,,,170.95,172.86,375.58,376.87,,2025,,,34192,366.31,368.79,,,,,,Bangalore Rural,1.6,,,,,,,,,,,,,BENGALURU RURAL,,,,,,,,,,,,,,
Bengaluru Urban,March 2024,,,,,,,,,,33,,177330,41%,,,73407,,,,552787,,BENGALURU URBAN,2230,,,BENGALURU URBAN,241,181,7194,6772,BENGALURU URBAN,151,99,2871,2621,745999.64,,,1017137.67,BENGALURU URBAN,,,,,73.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424960,,6200.22,6246.62,596841,1.3,,,,,,2849.25,2872.95,1450.72,1454.82,,17337,,,154544,1900.26,1918.84,,,,,,Bangalore urban,1.7,,,,,,,,,,,,,BENGALURU URBAN,,,,,,,,,,,,,,
Bidar,March 2024,,,,,,,,,,106,,14640,113%,,,16507,,,,80137,,BIDAR,155,,,BIDAR,33,106,257,118,BIDAR,110,61,230,59,9873.58,,,9811.01,BIDAR,,,,,100.64,,,,,,,,,,,,223.51,1376,,415.17,,,,,,75,1022.45,6,,3393.87,,,,,,122,586.89,,,604.61,,,,,291,,183,,208,930,,,,,,,4930.82,,,,,,,,,,,BIDAR,,,,,,,,,,,,,,,,,,,,,77565,,657.82,659.43,112733,1.6,,,,,,71.31,72.19,268,268.23,,863,,,34305,318.51,319.02,,,,,,Bidar,1.8,,,,,,,,,,,,,BIDAR,,,,,,,,,,,,,,
Chikkaballapura,March 2024,,,,,,,,,,60,,12960,67%,,,8635,,,,52470,,CHIKKABALLAPURA,144,,,CHIKKABALLAPURA,54,171,228,3,CHIKKABALLAPURA,99,72,179,8,8438.66,,,7237.79,CHIKKABALLAPURA,,,,,116.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73234,,868.74,871.39,116728,1.9,,,,,,100.41,101.7,272.28,272.63,,1287,,,42207,496.05,497.07,,,,,,Chikkaballapura,1.1,,,,,,,,,,,,,CHIKKABALLAPURA,,,,,,,,,,,,,,
Chikkamagaluru,March 2024,,,,,,,,,,41,,21930,49%,,,10851,,,,84148,,CHIKKAMAGALURU,267,,,CHIKKAMAGALURU,86,55,226,85,CHIKKAMAGALURU,182,66,308,60,12769.66,,,14249.39,CHIKKAMAGALURU,,,,,89.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,CHIKKAMAGALURU,,,,,,,,,,,,,,
Chitradurga,March 2024,,,,,,,,,,91,,18940,102%,,,19275,,,,98320,,CHITRADURGA,212,,,CHITRADURGA,40,84,228,104,CHITRADURGA,136,72,258,50,11080.43,,,10389.36,CHITRADURGA,,,,,106.65,,,,,,,,,,,,205.88,694,,189.71,,,,,,50,1036.01,11,,1207.17,,,,,,68,381.96,,,518.81,,,,,247,,115,,139,327,,,,,,,2688.62,,,,,,,,,,,CHITRADURGA,,,,,,,,,,,,,,,,,,,,,141587,,1614.67,1616.49,233920,1.11,,,,,,112.49,113.12,520.68,520.94,,1517,,,90816,981.5,982.42,,,,,,Chitradurga,1.12,,,,,,,,,,,,,CHITRADURGA,,,,,,,,,,,,,,
Dakshina Kannada,March 2024,,,,,,,,,,43,,47250,55%,,,26172,,,,173430,,DAKSHINA KANNADA,604,,,DAKSHINA KANNADA,162,157,797,478,DAKSHINA KANNADA,266,133,652,253,50632.1,,,70986.88,DAKSHINA KANNADA,,,,,71.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53802,,913.06,920.96,80406,1.12,,,,,,354.18,358.72,166.87,167.35,,4368,,,22236,392.01,394.88,,,,,,Dakshina Kannada,1.13,,,,,,,,,,,,,DAKSHINA KANNADA,,,,,,,,,,,,,,
Dharwad,March 2024,,,,,,,,,,67,,28660,76%,,,21887,,,,121478,,DHARWAD,326,,,DHARWAD,30,42,525,453,DHARWAD,92,41,388,255,31089.37,,,37387.7,DHARWAD,,,,,83.15,,,,,,,,,,,,189.09,750,,355.57,,,,,,79,598.24,14,,882.86,,,,,,133,516.48,,,613.92,,,,,219,,200,,255,319,,,,,,,2019.60,,,,,,,,,,,DHARWAD,,,,,,,,,,,,,,,,,,,,,185112,,1827.43,1834.02,261924,1.14,,,,,,329.97,332.34,672.01,672.72,,4006,,,72806,825.44,828.96,,,,,,Dharwad,1.15,,,,,,,,,,,,,DHARWAD,,,,,,,,,,,,,,
Gadag,March 2024,,,,,,,,,,94,,13760,100%,,,13746,,,,73694,,GADAG,147,,,GADAG,16,52,137,69,GADAG,83,63,192,46,7444.8,,,7789,GADAG,,,,,95.58,,,,,,,,,,,,126.51,600,,224.12,,,,,,44,402.75,15,,948.69,,,,,,78,329.66,,,412.68,,,,,124,,115,,168,322,,,,,,,1794.04,,,,,,,,,,,GADAG,,,,,,,,,,,,,,,,,,,,,52590,,611.73,612.77,82111,1.15,,,,,,103.38,103.7,183.36,183.53,,1337,,,28184,324.98,325.54,,,,,,Gadag,1.16,,,,,,,,,,,,,GADAG,,,,,,,,,,,,,,
Hassan,March 2024,,,,,,,,,,61,,26940,69%,,,18557,,,,116575,,HASSAN,305,,,HASSAN,111,92,427,224,HASSAN,213,80,387,94,17825.16,,,16731.19,HASSAN,,,,,106.54,,,,,,,,,,,,346.78,952,,312.17,,,,,,85,840.85,17,,1848.12,,,,,,91,610.41,,,1024.05,,,,,207,,164,,280,505,,,,,,,3580.12,,,,,,,,,,,HASSAN,,,,,,,,,,,,,,,,,,,,,138626,,1596.23,1601.16,225416,1.17,,,,,,208.58,210.66,508.8,509.11,,2624,,,84166,878.85,881.38,,,,,,Hassan,1.17,,,,,,,,,,,,,HASSAN,,,,,,,,,,,,,,
Haveri,March 2024,,,,,,,,,,86,,17910,96%,,,17140,,,,99809,,HAVERI,200,,,HAVERI,24,98,176,54,HAVERI,126,89,254,39,12807.62,,,8711.71,HAVERI,,,,,147.02,,,,,,,,,,,,158.57,886,,285.97,,,,,,59,942.31,18,,1183.67,,,,,,120,397.22,,,511.54,,,,,279,,157,,202,431,,,,,,,2672.16,,,,,,,,,,,HAVERI,,,,,,,,,,,,,,,,,,,,,138595,,1772.94,1775.09,230360,1.18,,,,,,135.2,136.11,507.13,507.38,,1659,,,90106,1130.61,1131.6,,,,,,Haveri,1.18,,,,,,,,,,,,,HAVERI,,,,,,,,,,,,,,
Kalaburagi,March 2024,,,,,,,,,,101,,21200,110%,,,23278,,,,116839,,KALABURAGI,231,,,KALABURAGI,29,83,386,274,KALABURAGI,119,74,311,118,16580.08,,,21458.07,KALABURAGI,,,,,77.27,,,,,,,,,,,,92.29,791,,177.11,,,,,,41,732.18,16,,1164.17,,,,,,65,258.20,,,356.28,,,,,254,,104,,169,414,,,,,,,2192.74,,,,,,,,,,,GULBARGA,,,,,,,,,,,,,,,,,,,,,116687,,903.83,906.93,156946,1.16,,,,,,122.1,123.22,401.17,401.53,,1516,,,38743,380.56,382.17,,,,,,Gulbarga,1.19,,,,,,,,,,,,,KALABURAGI,,,,,,,,,,,,,,
Kodagu,March 2024,,,,,,,,,,49,,14250,59%,,,8347,,,,46270,,KODAGU,170,,,KODAGU,62,65,141,14,KODAGU,129,59,191,3,8269.63,,,10498.66,KODAGU,,,,,78.77,,,,,,,,,,,,130.80,265,,220.83,,,,,,37,243.83,19,,392.61,,,,,,64,317.64,,,381.75,,,,,56,,88,,116,96,,,,,,,1060.28,,,,,,,,,,,KODAGU,,,,,,,,,,,,,,,,,,,,,63975,,621.83,624.85,95732,1.19,,,,,,108.1,109.46,212.4,212.66,,1312,,,30445,301.34,302.72,,,,,,Kodagu,1.2,,,,,,,,,,,,,KODAGU,,,,,,,,,,,,,,
Kolar,March 2024,,,,,,,,,,69,,17340,75%,,,13049,,,,75253,,KOLAR,190,,,KOLAR,60,74,312,178,KOLAR,110,56,220,54,11305.66,,,10263.62,KOLAR,,,,,110.15,,,,,,,,,,,,174.52,878,,266.62,,,,,,40,1019.19,20,,1690.63,,,,,,68,377.55,,,595.63,,,,,281,,93,,144,462,,,,,,,3298.09,,,,,,,,,,,KOLAR,,,,,,,,,,,,,,,,,,,,,107435,,1316.78,1319.38,171117,1.2,,,,,,193.05,193.67,384.81,384.98,,2439,,,61243,738.92,740.73,,,,,,Kolar,1.21,,,,,,,,,,,,,KOLAR,,,,,,,,,,,,,,
Koppal,March 2024,,,,,,,,,,87,,14140,98%,,,13858,,,,72002,,KOPPAL,160,,,KOPPAL,23,92,154,39,KOPPAL,75,76,187,36,7701.08,,,7708.19,KOPPAL,,,,,99.91,,,,,,,,,,,,169.79,797,,161.00,,,,,,61,759.83,21,,1035.76,,,,,,68,324.58,,,437.91,,,,,273,,126,,170,391,,,,,,,2192.30,,,,,,,,,,,KOPPAL,,,,,,,,,,,,,,,,,,,,,75495,,800.68,802.58,120153,1.21,,,,,,76.28,76.88,263.24,263.5,,944,,,43714,461.16,462.2,,,,,,Koppal,1.22,,,,,,,,,,,,,KOPPAL,,,,,,,,,,,,,,
Mandya,March 2024,,,,,,,,,,67,,22040,71%,,,15619,,,,99111,,MANDYA,234,,,MANDYA,74,82,295,139,MANDYA,205,88,352,59,14916.99,,,12069.56,MANDYA,,,,,123.59,,,,,,,,,,,,488.57,768,,392.59,,,,,,86,928.25,22,,1600.93,,,,,,99,835.03,,,1040.11,,,,,239,,170,,216,364,,,,,,,3326.23,,,,,,,,,,,MANDYA,,,,,,,,,,,,,,,,,,,,,141468,,1667.16,1671.06,238400,1.22,,,,,,160.66,161.96,524.86,525.3,,2047,,,94885,981.65,983.81,,,,,,Mandya,1.23,,,,,,,,,,,,,MANDYA,,,,,,,,,,,,,,
Mysuru,March 2024,,,,,,,,,,54,,43050,61%,,,26343,,,,171096,,MYSURU,490,,,MYSURU,76,112,879,691,MYSURU,195,103,608,310,46091.35,,,57013.34,MYSURU,,,,,80.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,MYSURU,,,,,,,,,,,,,,
Raichur,March 2024,,,,,,,,,,76,,20490,89%,,,18283,,,,99507,,RAICHUR,242,,,RAICHUR,12,106,224,106,RAICHUR,84,104,281,93,14074.48,,,11445.8,RAICHUR,,,,,122.97,,,,,,,,,,,,125.67,572,,285.18,,,,,,45,570.92,24,,1068.83,,,,,,76,376.38,,,467.80,,,,,164,,113,,158,305,,,,,,,2015.85,,,,,,,,,,,RAICHUR,,,,,,,,,,,,,,,,,,,,,82735,,820.95,823.04,126492,1.25,,,,,,100.99,101.83,278.78,279.03,,1281,,,42476,441.17,442.18,,,,,,Raichur,1.25,,,,,,,,,,,,,RAICHUR,,,,,,,,,,,,,,
Ramanagara,March 2024,,,,,,,,,,45,,13760,52%,,,7110,,,,55255,,RAMANAGARA,157,,,RAMANAGARA,162,112,278,4,RAMANAGARA,111,91,205,3,15286.86,,,13983.89,RAMANAGARA,,,,,109.32,,,,,,,,,,,,277.95,443,,298.51,,,,,,58,459.28,25,,706.13,,,,,,116,556.08,,,733.80,,,,,120,,167,,217,172,,,,,,,1820.96,,,,,,,,,,,RAMANAGARA,,,,,,,,,,,,,,,,,,,,,84683,,877.24,881.88,127921,1.26,,,,,,128.99,130.48,323.07,323.76,,1597,,,41641,425.18,427.65,,,,,,Ramanagara,1.26,,,,,,,,,,,,,RAMANAGARA,,,,,,,,,,,,,,
Shivamogga,March 2024,,,,,,,,,,63,,25250,72%,,,18244,,,,107204,,SHIVAMOGGA,288,,,SHIVAMOGGA,97,71,436,268,SHIVAMOGGA,159,60,354,135,19095.07,,,24912.19,SHIVAMOGGA,,,,,76.65,,,,,,,,,,,,633.24,1363,,982.00,,,,,,168,960.35,26,,2370.03,,,,,,281,1470.45,,,1844.33,,,,,251,,411,,497,685,,,,,,,4994.99,,,,,,,,,,,SHIMOGA,,,,,,,,,,,,,,,,,,,,,112691,,1467.27,1472.31,170676,1.27,,,,,,362.4,364.79,393.33,393.57,,4364,,,53621,711.53,713.95,,,,,,Shimoga,1.27,,,,,,,,,,,,,SHIVAMOGGA,,,,,,,,,,,,,,
Tumakuru,March 2024,,,,,,,,,,76,,27940,85%,,,23729,,,,123118,,TUMAKURU,311,,,TUMAKURU,76,130,453,247,TUMAKURU,200,122,420,98,20892,,,20526.22,TUMAKURU,,,,,101.78,,,,,,,,,,,,299.71,909,,424.76,,,,,,78,1169.76,27,,1672.30,,,,,,107,678.60,,,1036.59,,,,,246,,176,,240,451,,,,,,,3864.95,,,,,,,,,,,TUMKUR,,,,,,,,,,,,,,,,,,,,,182736,,2078.43,2082.02,291728,1.28,,,,,,305.45,306.59,684.59,685.54,,3878,,,105114,1088.39,1089.89,,,,,,Tumkur,1.28,,,,,,,,,,,,,TUMAKURU,,,,,,,,,,,,,,
Udupi,March 2024,,,,,,,,,,40,,32550,50%,,,16253,,,,109356,,UDUPI,410,,,UDUPI,178,110,492,204,UDUPI,238,89,433,106,18358.27,,,39108.33,UDUPI,,,,,46.94,,,,,,,,,,,,575.14,857,,1024.54,,,,,,156,691.64,28,,937.97,,,,,,291,1517.05,,,1709.62,,,,,166,,424,,464,289,,,,,,,3179.76,,,,,,,,,,,UDUPI,,,,,,,,,,,,,,,,,,,,,31338,,704.67,708.1,54267,1.29,,,,,,239.23,241.07,93.25,93.47,,2943,,,19986,372.19,373.57,,,,,,Udupi,1.29,,,,,,,,,,,,,UDUPI,,,,,,,,,,,,,,
Uttara Kannada,March 2024,,,,,,,,,,49,,25330,62%,,,15789,,,,93316,,UTTARA KANNADA,320,,,UTTARA KANNADA,65,203,282,14,UTTARA KANNADA,158,162,342,22,10138.96,,,22487.36,UTTARA KANNADA,,,,,45.09,,,,,,,,,,,,343.95,720,,462.41,,,,,,116,300.66,29,,1277.20,,,,,,171,760.32,,,918.97,,,,,93,,272,,326,350,,,,,,,2417.41,,,,,,,,,,,UTTARA KANNADA,,,,,,,,,,,,,,,,,,,,,63153,,1128.63,1131.02,103035,1.3,,,,,,302.6,303.44,201.01,201.33,,3492,,,36390,625.01,626.25,,,,,,Uttara Kannada,1.3,,,,,,,,,,,,,UTTARA KANNADA,,,,,,,,,,,,,,
Vijayapura,March 2024,,,,,,,,,,83,,22380,101%,,,22578,,,,110427,,VIJAYAPURA,271,,,VIJAYAPURA,31,92,289,166,VIJAYAPURA,134,99,328,95,17093.58,,,18676.31,VIJAYAPURA,,,,,91.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.32,,,,,,,,,,,,,VIJAYAPURA,,,,,,,,,,,,,,
Yadgir,March 2024,,,,,,,,,,99,,11490,108%,,,12384,,,,66638,,YADGIR,125,,,YADGIR,16,89,106,1,YADGIR,50,69,124,5,5463.42,,,4494.57,YADGIR,,,,,121.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46594,,442.66,444.45,66250,1.32,,,,,,74.33,74.83,162.65,162.73,,930,,,18726,205.68,206.89,,,,,,Yadgir,1.33,,,,,,,,,,,,,YADGIR,,,,,,,,,,,,,,
Bagalkote,June 2024,,,,,,15.94,BAGALKOTE,,54.83,,45,20940,,,,,9337,,,,BAGALKOTE,,,258,,BAGALKOTE,52,159,294,83,BAGALKOTE,136,150,348,62,,,,,,4769.69,8588.1,17074.16,3716.37,110.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,18,1,,250,,43,,471,194,12,222,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,BAGALKOTE,,,,,,,,,,,,,,
Ballari,June 2024,,,,,,0.2,BALLARI,,0.15,,30,25145,,,,,7570,,,,BALLARI,,,309,,BALLARI,18,79,250,153,BALLARI,64,57,221,100,,,,,,2278.54,4088.95,15669.19,9301.7,90.58,,,,,,,,,,,193,,,,,,30,234,,,,,21,,,,,,81,87,,,,13.47,,,119.3,,,,,,,,,,6,,546.20,,,,670.78,,31,,,,,84.15,223.89,237.36,,BELLARY,,,,,,0,2,0,1,,250,,28,,284,49,48,49,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,BALLARI,,,,,,,,,,,,,,
Bengaluru Rural,June 2024,,,,,,0.04,BENGALURU RURAL,,0.01,,10,23035,,,,,2241,,,,BENGALURU RURAL,,,305,,BENGALURU RURAL,104,199,333,30,BENGALURU RURAL,127,132,265,6,,,,,,5777.9,9980.33,18665.81,2907.58,104.17,,,,,,,,,,,43,,,,,,3,52,,,,,6,,,,,,49,49,,,,103.68,,,121.5,,,,,,,,,,17,,295.47,,,,348.79,,21,,,,,24.86,323.16,323.16,,BANGALORE RURAL,,,,,,3,0,4,0,,250,,20,,305,63,33,68,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,BENGALURU RURAL,,,,,,,,,,,,,,
