district,period,acp_outstanding__a_c,acp_outstanding__amt,acp_target_achievement__ach,acp_target_achievement__achivemen,acp_target_achievement__achivemen_t,acp_target_achievement__achivement,acp_target_achievement__district_name,acp_target_achievement__t,acp_target_achievement__target,apy__aapb_achieved_in_current_fy,apy__achievement,apy__annual_target,apy__annual_target_achievem_ent_in_current_fy,apy__annual_target_achievement_in_current_fy,apy__annual_target_achievement_in_current_fy_2024_25,apy__apy_accounts_opened_in_current_fy,apy__apy_accounts_opened_in_current_fy_2024_25,apy__apy_accounts_opened_in_current_fy_2025_26,apy__coverage,apy__cumulative_apy_accounts_opened_since_inception,apy__district_name,apy__name_of_the_district,apy__no_of_branch_es,apy__no_of_branches,apy__no_of_branches_as_on_01_04_2023,atm_network__district_name,atm_network__rural,atm_network__semi_urban,atm_network__total,atm_network__urban,branch_network__district_name,branch_network__rural,branch_network__semi_urban,branch_network__total,branch_network__urban,cd_ratio__advances,cd_ratio__branch,cd_ratio__deposit,cd_ratio__deposits,cd_ratio__district_name,cd_ratio__rural,cd_ratio__semi_urban,cd_ratio__total,cd_ratio__urban,credit_deposit_ratio__cd_ratio,deaf__axis,deaf__cb,deaf__idbi,deaf__kotak,deaf__sbi,deaf__total,pmegp__102,pmegp__113,pmegp__1171_87,pmegp__1265_52,pmegp__131,pmegp__1327_71,pmegp__1343,pmegp__144,pmegp__1691_60,pmegp__1725_84,pmegp__18,pmegp__180,pmegp__192,pmegp__1940_01,pmegp__197,pmegp__1983_78,pmegp__2,pmegp__200,pmegp__2067_83,pmegp__208,pmegp__212_78,pmegp__217,pmegp__242,pmegp__251,pmegp__265,pmegp__2760_59,pmegp__280,pmegp__288_50,pmegp__3010_35,pmegp__313,pmegp__339_7,pmegp__367_99,pmegp__399,pmegp__415,pmegp__418,pmegp__431,pmegp__46,pmegp__471,pmegp__502,pmegp__515_21,pmegp__53,pmegp__558_19,pmegp__570_23,pmegp__583_79,pmegp__619_14,pmegp__6946_76,pmegp__790_46,pmegp__796_35,pmegp__80,pmegp__81,pmegp__827_26,pmegp__831_42,pmegp__872_22,pmegp__88_63,pmegp__961_93,pmegp__987_34,pmegp__bangalore,pmegp__dakshin_kannad,pmegp__m_m_subsidy,pmegp__no_of_proj,pmegp_outstanding__amt,pmegp_outstanding__no,pmfme__application_submitted_to_bank,pmfme__loan_disbursed,pmfme__loan_rejections,pmfme__loan_sanctions,pmfme__loans_under_process,pmfme__target_in_fy2023_24,pmfme__target_in_fy2024_25,pmfme__target_in_fy2025_26,pmfme__total_application,pmfme__total_application_received,pmfme__total_applications,pmfme__total_loan_disbursed,pmfme__total_loan_rejections,pmfme__total_loan_sanctions,pmfme__total_loan_under_process,pmmy_mudra__102459,pmmy_mudra__116785,pmmy_mudra__1298_44,pmmy_mudra__1303_18,pmmy_mudra__157894,pmmy_mudra__1_1,pmmy_mudra__258_72,pmmy_mudra__258_99,pmmy_mudra__268_15,pmmy_mudra__270_79,pmmy_mudra__3172,pmmy_mudra__321_14,pmmy_mudra__323_96,pmmy_mudra__357_28,pmmy_mudra__357_69,pmmy_mudra__37615,pmmy_mudra__3814,pmmy_mudra__447_58,pmmy_mudra__448_88,pmmy_mudra__51621,pmmy_mudra__620_02,pmmy_mudra__621_53,pmmy_mudra__75998,pmmy_mudra__974_45,pmmy_mudra__978_66,pmmy_mudra__account,pmmy_mudra__amount,pmmy_mudra__bagalkot,uncategorized__1,uncategorized__101,uncategorized__1660,uncategorized__1670,uncategorized__2,uncategorized__5010,uncategorized__5390,uncategorized__93,uncategorized__allotted_bank_based_on_urban_rural_branches,uncategorized__amt_in_lakhs,uncategorized__avg_of_pmjjby_opened_per_gp,uncategorized__avg_of_pmsby_opened_per_gp,uncategorized__bangalore,uncategorized__karnataka,uncategorized__ldm_opinoin_to_open_branch_yes_no,uncategorized__name_of_village,uncategorized__no,uncategorized__no_of_a_c,uncategorized__opened,uncategorized__pmjjby,uncategorized__pmsby,uncategorized__remarks_by_ldms,uncategorized__sourced,uncategorized__taluka_name,uncategorized__total_no_of_gp_updated_in_portal,uncategorized__total_no_of_gps,uncategorized__total_population,uncategorized__village_code
Gadag,December 2023,,,,,,,,,,,,13760,,85,,11757,,,,71705,,GADAG,,,147,GADAG,16,54,141,71,GADAG,82,62,188,44,,188,,,,2776.26,2502.56,7154.84,1876.02,98.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,40,6,225,,,,,315,44,110,62,31,,59550,,,,1.15,134.24,134.34,75.27,75.78,982,,,,,20004,,226.43,226.97,,,,38564,435.93,437.09,,,Gadag,1.2,,,,,,,,,,,,,GADAG,,,,,,,,,,,,,,
Hassan,December 2023,,,,,,,,,,,,26940,,57,,15304,,,,113323,,HASSAN,,,305,HASSAN,114,97,436,225,HASSAN,213,80,387,94,,387,,,,6059.5,4100.66,17161.73,7001.57,110.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,70,3,225,,,,,404,145,59,168,24,,160960,,,,1.17,355.71,355.95,132.3,134.43,1676,,,,,62064,,634.77,636.96,,,,97220,1122.78,1127.34,,,Hassan,1.2,,,,,,,,,,,,,HASSAN,,,,,,,,,,,,,,
Haveri,December 2023,,,,,,,,,,,,17910,,84,,15019,,,,97688,,HAVERI,,,200,HAVERI,25,99,178,54,HAVERI,123,88,250,39,,250,,,,4602.06,5120.44,12122.95,2400.45,143.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,64,4,225,,,,,635,108,84,133,69,,163702,,,,1.18,366.85,367.07,93.21,94.37,1162,,,,,60691,,770.65,771.58,,,,101849,1230.71,1233.02,,,Haveri,1.2,,,,,,,,,,,,,HAVERI,,,,,,,,,,,,,,
Kalaburagi,December 2023,,,,,,,,,,,,21200,,86,,18228,,,,111791,,KALABURAGI,,,231,KALABURAGI,30,83,388,275,KALABURAGI,120,72,307,115,,307,,,,3276.29,3349.47,15481.28,8855.52,77.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,39,10,225,,,,,358,52,60,72,30,,113469,,,,1.16,289.8,290.08,85.26,86.37,1058,,,,,27819,,269.72,271.06,,,,84592,644.78,647.51,,,Gulbarga,1.2,,,,,,,,,,,,,KALABURAGI,,,,,,,,,,,,,,
Kodagu,December 2023,,,,,,,,,,,,14250,,44,,6290,,,,44214,,KODAGU,,,170,KODAGU,69,68,151,14,KODAGU,128,58,189,3,,189,,,,4044.57,3854.37,8043.46,144.52,79.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,0,200,,,,,80,45,2,45,2,,66920,,,,1.19,149.94,150.24,73.15,74.34,892,,,,,22250,,218.78,220.11,,,,43778,441.87,444.69,,,Kodagu,1.2,,,,,,,,,,,,,KODAGU,,,,,,,,,,,,,,
Kolar,December 2023,,,,,,,,,,,,17340,,62,,10719,,,,72923,,KOLAR,,,190,KOLAR,63,77,320,180,KOLAR,109,55,217,53,,217,,,,3987.35,2840.53,10805.25,3977.37,107.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,1,225,,,,,94,45,7,49,13,,119917,,,,1.2,256.8,256.92,125.57,126.2,1615,,,,,45588,,547.38,551.04,,,,72714,929.75,934.16,,,Kolar,1.2,,,,,,,,,,,,,KOLAR,,,,,,,,,,,,,,
Koppal,December 2023,,,,,,,,,,,,14140,,73,,10275,,,,68420,,KOPPAL,,,160,KOPPAL,23,93,157,41,KOPPAL,74,73,184,37,,184,,,,2020.64,3266.95,7433.09,2145.5,103.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,44,9,200,,,,,371,58,46,68,55,,87063,,,,1.21,190.17,190.33,49.31,50.07,615,,,,,30421,,326.06,326.98,,,,56027,565.55,567.38,,,Koppal,1.2,,,,,,,,,,,,,KOPPAL,,,,,,,,,,,,,,
Mandya,December 2023,,,,,,,,,,,,22040,,54,,11997,,,,95489,,MANDYA,,,234,MANDYA,77,86,304,141,MANDYA,207,88,353,58,,353,,,,5584.78,4199.35,14171.07,4386.94,125.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,48,6,250,,,,,282,153,28,164,22,,169499,,,,1.22,368.96,369.23,96.73,97.37,1228,,,,,68647,,704.38,706.23,,,,99624,1170.06,1172.83,,,Mandya,1.2,,,,,,,,,,,,,MANDYA,,,,,,,,,,,,,,
Mysuru,December 2023,,,,,,,,,,,,43050,,46,,20011,,,,164765,,MYSURU,,,490,MYSURU,78,120,903,705,MYSURU,194,103,604,307,,604,,,,6608.19,5042.04,44246.94,32596.71,81.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,22,8,200,,,,,219,33,27,44,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,MYSURU,,,,,,,,,,,,,,
Raichur,December 2023,,,,,,,,,,,,20490,,68,,14001,,,,95225,,RAICHUR,,,242,RAICHUR,12,116,238,110,RAICHUR,84,103,279,92,,279,,,,1786.72,5603.75,13742.36,6351.89,127.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,20,10,225,,,,,304,50,88,56,54,,96052,,,,1.25,209.3,209.53,70.38,71.31,901,,,,,31777,,325.49,326.24,,,,63374,605.17,607.09,,,Raichur,1.2,,,,,,,,,,,,,RAICHUR,,,,,,,,,,,,,,
