district,OPS Total Amount O/S,O/S OPS No. Total,Other Amt. PS,No. Other PS,able Renew- Amt.,No. Renewable,Amt. Infra Social,No. Infra Social,PS Amt. Housing,PS No. Housing,PS Amt. Education,PS No. Education,Amt. Export,No. Export
East Garo Hills,982.97,1373,306.43,1238,0,0,18.55,6,544.29,91,113.7,38,0,0
East Khasi Hills,46493.13,18617,6346.19,13348,1.78,1,110.15,32,30432.7,3137,9602.31,2099,0,0
Ri Bhoi,10001.88,3204,759.69,2113,0,0,12.99,6,8471.89,804,757.31,281,0,0
West Garo Hills,6721.55,3349,820.08,2465,0,0,86.39,21,5206.54,627,608.54,236,0,0
West Khasi Hills,1350.64,289,67.89,13,0,0,2.61,1,1001.24,141,278.9,134,0,0
