district,Tot Disb Amt. Minority,Disb Tot No. Minority,Amt. JAINS,No. JAINS,Amt. TRIANS ZORAS-,No. TRIANS ZORAS-,Amt. SIKHS,No. SIKHS,Amt. BUD- DHISTS,No BUD- DHISTS,Amt. MUSLIMS,LIMS MUS- No,Amt CHRISTIANS,No. TIANS CHRIS-
East Garo Hills,502.35,230,0,0,0,0,13.39,2,12.9,1,291.65,126,184.41,101
East Jaintia Hills,2941.5,1199,10,11,0,0,0,0,0,2,432.75,104,2498.75,1082
East Khasi Hills,42395.69,20437,59.85,13,0,0,775.11,367,322.14,117,6171.92,1338,35066.67,18602
North Garo Hills,148.49,71,0,0,0,0,0,0,0,0,87.09,35,61.4,36
Ri Bhoi,12173.63,5917,122.06,14,0,0,2067.48,29,49.52,33,4625.78,1535,5308.79,4306
South Garo Hills,206.43,74,9.5,1,0,0,0,0,0,0,143.11,33,53.82,40
West Garo Hills,6736.74,4264,0,0,0,0,50.98,21,7.6,13,3457.91,3101,3220.25,1129
West Jaintia Hills,7246.67,3106,0,0,0,0,0.51,2,0.8,2,176.22,58,7069.14,3044
West Khasi Hills,3057.28,2056,0,0,0,0,0.61,2,10.93,6,189.38,99,2856.36,1949
