district,BHIM/UPI A/c,Amt.,BHIM Aadhaar A/c,Amt.,Bharat QR Code A/c,Amt.,IMPS A/c,Amt.,Cards (Debit & Credit) A/c,Amt.,USSD A/c,Amt.
Bishnupur,862683,2127.53,3804705,2127.53,825,2127.53,2846962,2127.53,144364,2127.53,87872,2127.53
Chandel,88,968.36,1395430,968.36,75,968.36,4178,968.36,13116,968.36,42511,968.36
Churachandpur,1784258,3609.62,6331487,3609.62,1416,3609.62,11127498,3609.62,277980,3609.62,181740,3609.62
Imphal East,5305584,4172.71,6901578,4172.71,5965,4172.71,19069882,4172.71,589643,4172.71,179142,4172.71
Imphal West,14493683,17004.25,20453756,17004.25,12127,17004.25,52194026,17004.25,1993565,17004.25,678979,17004.25
Jiribam,841676,96.2,247622,96.2,0,96.2,52379,96.2,71233,96.2,3830,96.2
Kakching,526478,1453.82,2849332,1453.82,1118,1453.82,221668,1453.82,85136,1453.82,70429,1453.82
Kamjong,0,94.69,221071,94.69,0,94.69,1,94.69,0,94.69,3806,94.69
Kangpokpi,410367,2173.01,2968841,2173.01,38,2173.01,131200,2173.01,47703,2173.01,89898,2173.01
Noney,11033,199.17,418903,199.17,0,199.17,797,199.17,1058,199.17,8174,199.17
Pherzawl,0,12.24,26401,12.24,0,12.24,0,12.24,0,12.24,322,12.24
Senapati,668810,2286.53,3896145,2286.53,708,2286.53,7391038,2286.53,55908,2286.53,98698,2286.53
Tamenglong,598354,32.09,107307,32.09,0,32.09,25878,32.09,92681,32.09,1421,32.09
Tengnoupal,86598,823.79,1246501,823.79,231,823.79,8626,823.79,24354,823.79,35817,823.79
Thoubal,2757632,2175.84,4536179,2175.84,1905,2175.84,15497918,2175.84,246688,2175.84,95773,2175.84
Ukhrul,367096,1035.99,2102681,1035.99,2,1035.99,23337,1035.99,73750,1035.99,49133,1035.99
