District,Rural No.,Urban No.,Male No.,Female No.,Total PMJDY No.,No. of Zero Balance A/C,Amt Deposits Held In The A/C,No. of Rupay Card Issued,No. of Rupay Card Activated,No. of Aadhaar Seeded
Bishnupur,88359,55166,56574,86693,143267,10237,5224.61,87907,53625,100172
Chandel,13314,0,6051,7260,13311,918,459.9,12847,7248,8339
Churachandpur,96934,3746,45786,54881,100667,4938,4132.51,74722,42118,53314
Imphal East,95264,50447,58030,87569,145599,6600,3471.1,89080,49382,93454
Imphal West,54263,211117,106676,158386,265062,22193,7127.95,174463,119022,181918
Jiribam,19490,0,8345,11145,19490,49,647.71,15444,7593,17029
Kakching,27493,47639,31864,43206,75070,3416,1343.88,53514,28587,53309
Kamjong,2288,0,1143,1144,2287,64,108.69,2510,1550,677
Kangpokpi,35525,2131,18897,18755,37652,8018,820.67,24478,18572,17384
Noney,9788,0,5208,4714,9922,447,811.67,7935,5106,5824
Pherzawl,164,0,83,81,164,4,12.55,221,82,138
Senapati,39865,42,18369,21445,39814,879,2226.96,43250,20334,19915
Tamenglong,3990,21773,13756,12007,25763,1664,576.13,27153,10728,15084
Tengnoupal,11312,6340,7895,9738,17633,759,674.01,17737,8535,12267
Thoubal,63706,70912,57718,76849,134567,15501,2523.72,84374,53822,85799
Ukhrul,5495,65941,36162,35261,71423,1521,2910.17,63829,19835,32401
