district,Duringthe Quarter Savings Linked No,Duringthe Quarter Savings Linked Amount,Duringthe Quarter Credit Linked No,Duringthe Quarter Credit Linked Amount,Current FY Savings Linked No,Current FY Savings Linked Amount,Current FY Credit Linked No,Current FY Credit Linked Amount,SHG O/S No.,SHG O/S Amt.,SHG NPA No.,SHG NPA Amt.,SHG NPA Amt. %
Bishnupur,297,9.29,56,79,521,19.24,134,215.07,305,272.77,50,22.54,8.26
Chandel,114,8.41,0,0,114,8.41,0,0,2,0.07,1,0.06,85.71
Churachandpur,1178,38.72,43,70.87,1350,59.05,148,196.69,176,131.58,96,21.89,16.64
Imphal East,302,34.66,69,144.25,359,67.31,321,543.69,356,335.69,34,16.33,4.86
Imphal West,803,71.43,81,131.66,1169,123.9,253,408.56,356,424.28,94,87.04,20.51
Jiribam,58,0.57,0,0,148,45.3,32,22,50,34.18,1,0.33,0.97
Kakching,210,21.78,32,44.71,299,25.87,171,222.6,159,176.62,18,7.79,4.41
Kamjong,139,3.84,0,0,139,3.84,0,0,0,0,0,0,0
Kangpokpi,205,5.23,10,14.91,195,5.54,35,51.51,38,36.04,25,21.68,60.16
Noney,117,5.93,0,0,194,9.17,5,12.5,49,52.11,19,14.42,27.67
Pherzawl,3,0.05,0,0,3,0.05,0,0,0,0,0,0,0
Senapati,383,26.19,2,4.39,494,29.54,59,117.15,90,156.24,1,0.48,0.31
Tamenglong,113,4.43,1,2,178,5.12,3,5.35,12,7.79,6,0.85,10.91
Tengnoupal,185,8.19,3,6,197,8.37,52,134.5,64,116.71,0,0,0
Thoubal,419,114.75,55,97.36,580,173.63,317,479.52,317,306.86,55,18.6,6.06
Ukhrul,104,1.61,26,67.51,227,4.88,72,154.5,124,160.79,103,150.85,93.82
