District,Enrolment Under PMJJBY,eligible cases under PMJJBY,Renewals Under PMJJBY,Enrolment Under PMSBY,eligible cases under PMSBY,Renewals Under PMSBY,Enrolment Under APY,Total Enrolment No.
Bishnupur,23087,163112,3835,66609,225412,22035,6914,96610
Chandel,6122,22156,1465,15465,34350,7725,267,21854
Churachandpur,30129,136894,4933,69274,206325,22488,3385,102788
Imphal East,39469,190902,10081,118526,274931,49473,10375,168370
Imphal West,77495,367495,17835,230205,535510,79923,24808,332508
Jiribam,4918,38401,51,10420,39551,258,2649,17987
Kakching,18156,92421,3296,58827,163602,21533,3477,80460
Kamjong,591,2472,93,1793,4187,804,45,2429
Kangpokpi,22286,32269,5605,31391,51711,15344,1247,54924
Noney,2518,11183,574,6547,14469,3453,727,9792
Pherzawl,208,519,40,1003,778,490,9,1220
Senapati,22723,92743,5015,55137,142088,25282,2039,79899
Tamenglong,3291,47174,32,16222,69732,1354,3006,22519
Tengnoupal,10159,42509,2185,23017,62746,10754,1374,34550
Thoubal,21480,136097,6137,69086,206898,24734,6206,96772
Ukhrul,11763,95451,1125,27035,120604,7632,3448,42246
