district,Export Credit A/C,Amt,Education (PS) A/C,Amt,Housing (PS) A/C,Amt,Social Infrastructure A/C,Amt,Renewable Energy A/C,Amt,Informal Credit A/C,Amt,Total Other PS Disb A/C,Amt,Loans to weaker A/C,Amt
Bishnupur,0,7134.9,5,7134.9,227,7134.9,0,7134.9,0,7134.9,575,7134.9,807,7134.9,7711,7134.9
Chandel,0,246.43,2,246.43,7,246.43,0,246.43,0,246.43,0,246.43,9,246.43,164,246.43
Churachandpur,0,12491.89,30,12491.89,25,12491.89,0,12491.89,0,12491.89,39,12491.89,94,12491.89,3007,12491.89
Imphal East,0,14998.94,37,14998.94,1039,14998.94,0,14998.94,0,14998.94,2512,14998.94,3588,14998.94,13533,14998.94
Imphal West,0,29029.75,215,29029.75,1443,29029.75,8,29029.75,1,29029.75,2429,29029.75,4096,29029.75,11668,29029.75
Jiribam,0,5700.61,0,5700.61,20,5700.61,0,5700.61,0,5700.61,39,5700.61,59,5700.61,9571,5700.61
Kakching,0,7851.53,12,7851.53,54,7851.53,3,7851.53,0,7851.53,62,7851.53,131,7851.53,7278,7851.53
Kamjong,0,9.17,0,9.17,0,9.17,0,9.17,0,9.17,0,9.17,0,9.17,5,9.17
Kangpokpi,0,1364.36,9,1364.36,3,1364.36,0,1364.36,0,1364.36,13,1364.36,25,1364.36,593,1364.36
Noney,0,1310.91,0,1310.91,2,1310.91,0,1310.91,0,1310.91,0,1310.91,2,1310.91,208,1310.91
Pherzawl,0,42.11,0,42.11,0,42.11,0,42.11,0,42.11,0,42.11,0,42.11,29,42.11
Senapati,0,2935.78,13,2935.78,20,2935.78,0,2935.78,0,2935.78,78,2935.78,111,2935.78,1375,2935.78
Tamenglong,0,5432.23,7,5432.23,1,5432.23,0,5432.23,0,5432.23,0,5432.23,8,5432.23,525,5432.23
Tengnoupal,0,1361.02,2,1361.02,13,1361.02,0,1361.02,0,1361.02,0,1361.02,15,1361.02,568,1361.02
Thoubal,0,9471.2,26,9471.2,138,9471.2,0,9471.2,0,9471.2,2094,9471.2,2258,9471.2,10051,9471.2
Ukhrul,0,3443.18,1,3443.18,14,3443.18,0,3443.18,0,3443.18,79,3443.18,94,3443.18,722,3443.18
