district,Branch,Total Branch,ATM,Total ATM,"Out Of Total CSP, Fixed Point CSP","Out Of Total CSP,Other CSP",Total CSP
Bishnupur,3,20,2,12,363,52,414
Chandel,4,4,4,4,50,3,53
Churachandpur,17,20,33,36,266,55,318
Imphal East,24,35,13,25,724,48,774
Imphal West,10,77,7,225,648,3295,4336
Jiribam,4,5,1,2,94,10,104
Kakching,1,11,1,17,211,46,257
Kamjong,1,1,1,1,50,0,50
Kangpokpi,13,13,10,10,51,2,53
Noney,6,6,1,1,14,1,15
Pherzawl,1,1,0,0,22,1,23
Senapati,13,15,16,16,39,16,56
Tamenglong,2,5,0,2,19,10,29
Tengnoupal,3,7,2,6,42,15,57
Thoubal,8,21,2,31,538,56,596
Ukhrul,4,8,3,8,181,19,200
