District,Dep Rural,Dep Semi-Urban,Dep Urban,Total Deposit,Adv Rural,Adv Semi-Urban,Adv Urban,Total Advances,Cdr Rural,Cdr Semi-Urban,Cdr Urban,Overall CD Ratio
Bishnupur,2169.75,35490.8,0,37660.5,3348.75,59382.4,3458.12,66189.3,154.34,167.32,,175.75
Chandel,12492.3,0,0,12492.3,18290.3,35.01,220.06,18545.4,146.41,,,148.45
Churachandpur,94777,6140.38,0,100917,84955.4,5973.89,12526.6,103456,89.64,97.29,,102.52
Imphal East,119214,11828,50139.1,181181,87015.9,5465.03,50901.2,143382,72.99,46.2,101.52,79.14
Imphal West,34264.1,39274.2,928981,1002520,32911.1,51278.1,526396,610585,96.05,130.56,56.66,60.91
Jiribam,12756.9,130.62,0,12887.5,4851.98,154.17,0,5006.15,38.03,118.03,,38.85
Kakching,869.05,20463.4,0,21332.5,1215.76,35514.6,0,36730.4,139.9,173.55,,172.18
Kamjong,913.75,0,0,913.75,1836.72,0,0,1836.72,201.01,,,201.01
Kangpokpi,25907.5,0,0,25907.5,31601.1,0,0,31601.1,121.98,,,121.98
Noney,5762.43,0,0,5762.43,4187.11,0,0,4187.11,72.66,,,72.66
Pherzawl,123.28,0,0,123.28,1226.86,0,0,1226.86,995.18,,,995.18
Senapati,49863.7,659.99,0,50523.6,45604.7,661.89,397.95,46664.6,91.46,100.29,,92.36
Tamenglong,641.92,13549.9,0,14191.9,259.6,6706.9,298.26,7264.76,40.44,49.5,,51.19
Tengnoupal,5162.5,8259.5,0,13422,13083.2,5491.41,0,18574.6,253.43,66.49,,138.39
Thoubal,8216.07,40288.6,0,48504.6,11584.4,67849.3,4545.3,83979,141,168.41,,173.14
Ukhrul,1837.66,26009.3,0,27847,4121.09,15025.6,238.75,19385.4,224.26,57.77,,69.61
