district,Sishu No,Sishuamt,Kishoreno,Kishore Amt,Tarun No,Tarun Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt.
Bishnupur,2082,713.64,1653,2285.76,154,1175.63,3889,4175.03
Chandel,8,3.88,38,69.31,3,17.12,49,90.31
Churachandpur,267,69.99,494,1005.82,91,676.85,852,1752.66
Imphal East,7255,2490.55,2823,4229.14,348,2070.85,10426,8790.54
Imphal West,6786,2126.2,3136,5356.54,578,4107.51,10500,11590.25
Jiribam,814,294.65,756,797.2,6,40,1576,1131.85
Kakching,1205,470.38,1448,1920.86,79,517.63,2732,2908.87
Kamjong,7,0.7,5,9.17,2,14,14,23.87
Kangpokpi,17,6.11,126,334.94,46,371.25,189,712.3
Noney,34,7.68,239,384.07,8,63.87,281,455.62
Pherzawl,0,0,2,2.7,0,0,2,2.7
Senapati,172,54.99,362,993.7,102,727.39,636,1776.08
Tamenglong,30,13.08,118,262.38,12,86.85,160,362.31
Tengnoupal,42,15.24,471,711.92,24,119.23,537,846.39
Thoubal,5242,1782.83,2398,3597.67,174,1152.19,7814,6532.69
Ukhrul,16,7.99,226,382.96,16,133.88,258,524.83
