District,Agri NPS No.,Amt,Education NPS No.,Housing NPS No.,Personal Loan No.,Other NPS No.,Tot NPS O/S No.,Tot Non Prio Sec NPA No.,NPS NPA Amt.%
Bishnupur,10,567.91,0,320,2610,11722,14662,525,1.3
Chandel,3,308.5,0,74,494,2863,3434,141,1.8
Churachandpur,20,905.6,27,1100,3259,12077,16483,381,1.08
Imphal East,3,1012.2,11,685,5809,25177,31685,661,1.03
Imphal West,15,4445.6,216,3591,26239,78482,108543,4018,1.02
Jiribam,0,11.15,0,3,304,956,1263,26,0.31
Kakching,0,557.02,0,221,1758,4016,5995,329,2.44
Kamjong,0,46.21,0,0,24,335,359,56,2.56
Kangpokpi,2,220.72,11,263,712,3786,4774,138,0.84
Noney,0,54.35,0,0,92,441,533,32,1.76
Pherzawl,0,0.05,0,2,12,185,199,7,0
Senapati,4,601.26,0,440,1172,7338,8954,394,1.58
Tamenglong,0,24.3,0,9,999,371,1379,36,0.41
Tengnoupal,2,150.51,0,59,652,2291,3004,100,0.97
Thoubal,7,617.9,0,456,3005,16168,19636,679,1.1
Ukhrul,0,223.26,0,7,1218,2019,3244,157,1.36
