District,Total Agri (PS) O/S,Total Agri (PS) NPA,Agri NPA Pct,Total Msme (PS) O/S,Total Msme (PS) NPA,Msme NPA Pct,Total Other PS O/S,Total Other (PS) NPA,Other (PS) NPA Pct,Total PS O/S,Total PSA NPA,TOTAL PSA NPA Pct
Bishnupur,10227,1160,9.21,4432,1275,15.35,4412,220,2.5,19071,2655,9.24
Chandel,277,82,33.42,636,117,9.41,80,7,0.99,993,206,9.27
Churachandpur,4611,948,13.09,2909,628,7.2,995,97,0.9,8515,1673,6.92
Imphal East,9544,1406,11.53,10186,1428,6.54,12963,257,1.62,32693,3091,6.51
Imphal West,24938,10907,20.03,22269,5240,8.94,13781,271,1.79,60988,16418,10.27
Jiribam,229,11,2.58,112,27,12.3,2662,29,0.53,3003,67,2.69
Kakching,4079,772,12.66,2598,699,10.27,3506,124,2.07,10183,1595,9.26
Kamjong,10,8,83.07,95,1,0.01,0,0,,105,9,10.37
Kangpokpi,1667,183,6.61,1109,172,10.78,534,15,0.98,3310,370,6.45
Noney,630,165,13.15,410,80,11.17,3,0,0,1043,245,11.55
Pherzawl,28,0,0,19,4,21.9,0,0,,47,4,12.8
Senapati,2181,588,25.85,2527,389,7.84,358,53,1.04,5066,1030,9.54
Tamenglong,317,128,29.75,617,184,21.76,16,0,0,950,312,21.64
Tengnoupal,904,57,2.9,1240,97,4.84,174,2,2.82,2318,156,3.83
Thoubal,7644,701,5.97,5609,1231,11.82,9489,435,1.77,22742,2367,7.14
Ukhrul,840,319,35.88,1164,332,23.89,345,47,6.8,2349,698,24.98
