district,Sishu O/S No.,Amt.,Sishu NPA No.,Kishore O/S No.,Kishore NPA No.,Tarun O/S No.,Tarun NPA No.,Total MUDRA O/S No.,Total MUDRA NPA No.,MUDRA NPA Amt.%
Bishnupur,4318,1260.9,877,4872,703,244,13,9434,1593,13.92
Chandel,325,304.63,79,446,190,44,6,815,275,20.16
Churachandpur,1463,881.11,558,1737,357,292,23,3492,938,15.9
Imphal East,12817,958.13,1051,6592,380,674,54,20083,1485,6.62
Imphal West,14449,4095.7,2902,9223,1346,1769,296,25441,4544,15.41
Jiribam,1291,25.85,20,2157,13,12,1,3460,34,1.75
Kakching,2643,702.95,544,3937,352,126,9,6706,905,13.01
Kamjong,79,65.3,64,51,30,2,1,132,95,62.36
Kangpokpi,355,326.25,47,568,141,113,15,1036,203,15.88
Noney,131,149.08,69,615,109,8,0,754,178,16.83
Pherzawl,6,8.06,5,12,4,2,0,20,9,22.03
Senapati,618,1124,247,1997,697,255,20,2870,964,20.65
Tamenglong,125,132.43,39,455,86,36,2,616,127,15.65
Tengnoupal,403,176.02,51,1261,118,37,2,1701,171,9.27
Thoubal,9078,845.68,1092,4464,340,306,19,13848,1451,9.11
Ukhrul,244,637.42,99,1179,350,77,15,1500,464,31.28
