district,Micro No.,Amt.,Small No.,Amt.,Medium No.,Amt.,Other MSME No.,Amt.,MSME Total O/S No.,Amt.
Bishnupur,4107,6735.72,97,6735.72,0,6735.72,228,6735.72,4432,6735.72
Chandel,629,724.29,6,724.29,0,724.29,1,724.29,636,724.29
Churachandpur,2667,9929.08,156,9929.08,1,9929.08,85,9929.08,2909,9929.08
Imphal East,9684,26056.48,374,26056.48,60,26056.48,68,26056.48,10186,26056.48
Imphal West,18821,107866.85,1053,107866.85,60,107866.85,2335,107866.85,22269,107866.85
Jiribam,85,214.42,27,214.42,0,214.42,0,214.42,112,214.42
Kakching,2260,5032.21,336,5032.21,2,5032.21,0,5032.21,2598,5032.21
Kamjong,94,109.83,0,109.83,0,109.83,1,109.83,95,109.83
Kangpokpi,1090,2845.12,12,2845.12,0,2845.12,7,2845.12,1109,2845.12
Noney,405,497.65,0,497.65,0,497.65,5,497.65,410,497.65
Pherzawl,19,36.58,0,36.58,0,36.58,0,36.58,19,36.58
Senapati,2255,6874.84,163,6874.84,0,6874.84,109,6874.84,2527,6874.84
Tamenglong,566,956.18,51,956.18,0,956.18,0,956.18,617,956.18
Tengnoupal,1167,1751.35,64,1751.35,0,1751.35,9,1751.35,1240,1751.35
Thoubal,5347,11018.61,52,11018.61,2,11018.61,208,11018.61,5609,11018.61
Ukhrul,1092,1935.1,65,1935.1,4,1935.1,3,1935.1,1164,1935.1
