district,Sep-I No.,Sep-I Amt,Sep-G No,Sep-G Amt.,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt.,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amount,NULM O/S No.,NULM O/S Amt.,NULM NPA No.,NULM NPA Amt.,NULM NPA Amt. %
Bishnupur,2,4,0,0,0,11,16.82,74,10,16.1,74,13,20.82,17,23.77,0,0,0
Chandel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churachandpur,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.69,4,1.69,100
Imphal East,0,0,0,0,0,2,3.5,20,2,3.5,20,2,3.5,18,12.46,1,2.28,18.3
Imphal West,3,4.8,0,0,0,30,46.49,120,26,39.29,119,33,51.29,46,64.43,4,2.93,4.55
Jiribam,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4.59,2,1.73,37.69
Kakching,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8.69,9,3.32,38.2
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15.5,0,0,0
Tamenglong,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.27,3,0.23,85.19
Tengnoupal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thoubal,0,0,0,0,0,31,67.6,292,28,64,282,31,67.6,61,92.35,1,1,1.08
Ukhrul,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1.98,15,1.71,86.36
