District,KCCsfor AH and Allied Activities No.,Amt,Farm Production No.,Dairy No.,Farm Mechanisation No.,Poultry No.,fisheries No.,Godown No.,Clinic No.,Other No.,Total IC-Agri O/S No.
Bishnupur,310,4296.6,0,18,20,764,497,0,0,803,2412
Chandel,111,128.69,0,0,0,20,1,0,0,6,138
Churachandpur,483,2810.33,0,113,11,315,285,0,0,570,1777
Imphal East,515,6480.52,9,67,498,1482,243,0,0,1269,4083
Imphal West,1082,17380.8,15,173,84,4223,523,0,0,1708,7808
Jiribam,26,28.14,0,0,0,1,0,0,0,2,29
Kakching,604,1636.29,0,23,3,29,220,0,0,205,1084
Kamjong,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,63,314.47,0,10,0,30,2,0,0,134,239
Noney,1,85.71,0,0,0,0,0,0,0,64,65
Pherzawl,2,1.41,0,0,0,0,0,0,0,0,2
Senapati,92,202.17,0,3,46,28,3,0,0,44,216
Tamenglong,73,179.8,0,12,2,21,4,0,0,104,216
Tengnoupal,57,79.5,0,0,0,1,1,0,0,24,83
Thoubal,263,7010.23,0,35,120,2284,266,0,0,1190,4158
Ukhrul,23,373.36,0,8,0,21,1,0,0,220,273
