District,Smalland Marginal Farmers No.,Amt,Scheduled Castes No.,Scheduled Tribes No.,DRI scheme No.,Self Help Groups No.,womenbeneficiaries No.,Minoritycommunities No.,PMJDY No.,Others No.,Tot Weaker Sec O/S No.
Bishnupur,8626,14520.2,497,134,0,516,7026,600,1,702,18102
Chandel,128,1179.46,0,288,0,3,72,223,0,16,730
Churachandpur,4752,28108.1,19,3094,1,212,935,3178,245,78,12514
Imphal East,8246,24071.5,108,790,0,1035,15517,845,146,1533,28220
Imphal West,23193,64063.4,552,1780,6,699,14941,1437,150,2212,44970
Jiribam,278,1702.24,491,367,0,38,2663,1,0,1,3839
Kakching,3672,12426.2,3459,402,0,299,3792,86,1,66,11777
Kamjong,0,20.15,0,0,0,0,3,14,0,0,17
Kangpokpi,511,5590.23,88,756,0,38,249,743,1,17,2403
Noney,624,2595.22,4,812,4,67,297,839,1,1,2649
Pherzawl,26,85.4,0,0,0,0,7,38,0,2,73
Senapati,2202,9513.83,0,772,0,77,807,1835,2,36,5731
Tamenglong,1628,6765.08,0,268,26,5,100,433,5,7,2472
Tengnoupal,944,4602.06,10,1016,0,199,402,811,3,79,3464
Thoubal,6460,16073.1,239,136,0,825,11530,1932,123,470,21715
Ukhrul,1802,8139.5,0,1174,0,107,164,273,0,129,3649
