district,KCCs for AH and Allied Activities No,Amt,Farm Production No,Amt,Dairy No,Amt,Farm Mechanisation No,Amt,Poultry No,Amt,fisheries No,Amt,Godown No,Amt,Clinic No,Amt,Other No,Amt,Total IC- Agri Disb No,Amt
Bishnupur,219,2598.7,0,2598.7,10,2598.7,0,2598.7,625,2598.7,170,2598.7,0,2598.7,0,2598.7,217,2598.7,1241,2598.7
Chandel,99,78.95,0,78.95,0,78.95,0,78.95,15,78.95,1,78.95,0,78.95,0,78.95,2,78.95,117,78.95
Churachandpur,325,2597.7,0,2597.7,8,2597.7,0,2597.7,849,2597.7,202,2597.7,0,2597.7,0,2597.7,204,2597.7,1588,2597.7
Imphal East,276,10732,0,10732,26,10732,256,10732,1665,10732,148,10732,0,10732,0,10732,985,10732,3356,10732
Imphal West,444,11609,6,11609,49,11609,22,11609,3518,11609,215,11609,0,11609,0,11609,947,11609,5201,11609
Jiribam,15,32.6,0,32.6,0,32.6,0,32.6,1,32.6,0,32.6,0,32.6,0,32.6,0,32.6,16,32.6
Kakching,218,829.07,0,829.07,3,829.07,0,829.07,21,829.07,138,829.07,0,829.07,0,829.07,113,829.07,493,829.07
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,68,199.84,0,199.84,4,199.84,0,199.84,27,199.84,1,199.84,0,199.84,0,199.84,110,199.84,210,199.84
Noney,1,89.99,0,89.99,0,89.99,0,89.99,0,89.99,0,89.99,0,89.99,0,89.99,71,89.99,72,89.99
Pherzawl,2,1.55,0,1.55,0,1.55,0,1.55,0,1.55,0,1.55,0,1.55,0,1.55,0,1.55,2,1.55
Senapati,61,111.6,0,111.6,2,111.6,38,111.6,6,111.6,2,111.6,0,111.6,0,111.6,26,111.6,135,111.6
Tamenglong,66,115.58,0,115.58,1,115.58,1,115.58,14,115.58,2,115.58,0,115.58,0,115.58,25,115.58,109,115.58
Tengnoupal,54,63.96,0,63.96,0,63.96,0,63.96,1,63.96,1,63.96,0,63.96,0,63.96,25,63.96,81,63.96
Thoubal,195,5661.5,0,5661.5,12,5661.5,34,5661.5,2321,5661.5,117,5661.5,0,5661.5,0,5661.5,772,5661.5,3451,5661.5
Ukhrul,23,120.38,0,120.38,0,120.38,0,120.38,9,120.38,2,120.38,0,120.38,0,120.38,46,120.38,80,120.38
