District,Current Year Self-Help Group No.,Current Year Self-Help Group Amt,NRLM O/S No.,NRLM O/S Amt,NRLM Irregular A/C No.,NRLM Irregular A/C Amt,NRLM NPA No.,NRLM NPA Amt,NRLM NPA Pct
Bishnupur,23,25.1,44,34.59,0,0,15,6.21,17.95
Chandel,0,0,2,0.06,0,0,1,0.06,100
Churachandpur,115,141.61,216,115.45,3,0.04,91,19.53,16.92
Imphal East,553,732.23,980,978.44,9,7.07,28,13.38,1.37
Imphal West,288,344.83,420,410.42,3,1.09,11,5.71,1.39
Jiribam,32,82,11,7.1,0,0,0,0,0
Kakching,57,189.6,86,87.18,0,0,2,0.51,0.58
Kamjong,0,0,0,0,0,0,0,0,0
Kangpokpi,24,43.65,11,15.25,0,0,0,0,0
Noney,0,0,18,9.99,0,0,16,8.49,84.98
Pherzawl,0,0,0,0,0,0,0,0,0
Senapati,5,11.5,16,12.8,4,1.66,1,0.48,3.75
Tamenglong,0,0,4,0.71,0,0,4,0.71,100
Tengnoupal,67,153.1,182,225.52,0,0,0,0,0
Thoubal,320,421,557,676.58,5,0.68,88,61.86,9.14
Ukhrul,0,0,5,2.3,0,0,2,0.87,37.83
