District,Housing Loan (PS) O/S No.,Housing Loan (PS) O/S Amt,Housing Loan (NPS) O/S No.,Housing Loan (NPS) O/S Amt,Rural Housing Loan O/S No.,Rural Housing Loan O/S Amt,Housing Loan Eligibleunder PMAY O/S No.,Housing Loan Eligibleunder PMAY O/S Amt,Current Year Disbursed under PMAY No.,Current Year Disbursed under PMAY Amt,PMAY O/S No.,PMAY O/S Amt
Bishnupur,494,3966.36,320,5831.5,905,15088.06,0,0,0,0,0,0
Chandel,64,685.57,74,1210.17,160,2828.11,2,23.76,0,0,2,23.76
Churachandpur,382,4069.18,1058,19770.77,513,8051.74,0,0,0,0,0,0
Imphal East,1392,7361.09,632,12343.94,71,1456.26,88,963.78,40,413.86,90,974.52
Imphal West,3319,24530.03,3348,62878.7,224,3939.28,57,604.92,20,226.58,58,607.81
Jiribam,7,60.99,3,30.27,0,0,0,0,0,0,0,0
Kakching,198,2135.34,221,4572.08,80,1057.77,0,0,0,0,0,0
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,60,787.11,255,3982.46,5,111.19,0,0,0,0,0,0
Noney,2,62.4,0,0,2,62.4,0,0,0,0,0,0
Pherzawl,0,0,2,20.71,0,0,0,0,0,0,0,0
Senapati,149,2053.99,438,7072.58,375,5740.57,0,0,0,0,0,0
Tamenglong,7,79.82,8,155.57,563,8832.81,0,0,0,0,0,0
Tengnoupal,51,677.75,59,1203.27,0,0,0,0,0,0,0,0
Thoubal,459,4703.52,453,7826.93,33,204.7,11,190.26,5,86.21,12,207.16
Ukhrul,12,81.95,5,139.09,9,137.42,0,0,0,0,0,0
