District,Crop Loan A/C,Amt,Forestryandwasteland Dev A/C,Water Resource A/C,Farmmechanization A/C,Plantation & horticulture A/C,Animal Husbandry A/C,Fishery A/C,Farm Credit Others A/C,Agri. Infrastructure A/C,Ancillaryy Activities A/C,Tot Agri (PS) Disb A/C
Bishnupur,1767,6770.4,163,0,0,0,354,177,1551,1,508,4521
Chandel,116,140.31,0,0,0,0,0,0,19,0,0,135
Churachandpur,1220,2669.3,3,0,0,19,243,3,382,4,48,1922
Imphal East,1553,9379.2,396,0,394,245,901,54,1728,7,521,5799
Imphal West,4451,25936,440,0,24,284,745,82,3129,54,742,9951
Jiribam,18,606.73,0,0,0,0,15,0,833,4,104,974
Kakching,360,4138.5,0,0,0,0,303,108,1847,2,224,2844
Kamjong,0,1.9,0,0,0,0,0,0,0,0,1,1
Kangpokpi,207,631.99,0,0,0,62,106,5,62,0,45,487
Noney,85,283.02,0,0,0,0,91,0,0,0,9,185
Pherzawl,26,25.21,0,0,0,0,0,0,0,0,0,26
Senapati,731,814.95,6,0,45,0,10,1,95,0,32,920
Tamenglong,52,117.11,0,0,1,0,45,0,4,0,4,106
Tengnoupal,91,1010.4,0,0,0,3,244,0,168,1,19,526
Thoubal,1180,8359.2,385,0,40,0,537,48,2922,0,214,5326
Ukhrul,63,245.31,0,0,0,25,53,0,27,0,3,171
