district,NRLM O/S No.,Amt.,NRLM Irregular No.,Amt.,NRLM NPA No.,Amt.,NULM O/S No.,Amt.,NULM NPA No.,Amt.,PMEGP O/S No.,Amt.,PMEGP NPA No.,Amt.,SHG O/S No.,Amt.,SHG NPA No.,Amt.,SUI O/S No.,Amt.,SUI NPA No.,Amt.
Bishnupur,44,0,0,0,15,0,17,0,0,0,458,0,255,0,305,0,50,0,2,0,0,0
Chandel,2,0,0,0,1,0,0,0,0,0,66,0,38,0,2,0,1,0,0,0,0,0
Churachandpur,216,0,3,0,91,0,4,0,4,0,299,0,122,0,176,0,96,0,33,0,0,0
Imphal East,980,40.73,9,40.73,28,40.73,18,40.73,1,40.73,751,40.73,255,40.73,356,40.73,34,40.73,47,40.73,3,40.73
Imphal West,420,142.54,3,142.54,11,142.54,46,142.54,4,142.54,1220,142.54,518,142.54,356,142.54,94,142.54,89,142.54,16,142.54
Jiribam,11,0,0,0,0,0,7,0,2,0,18,0,3,0,50,0,1,0,0,0,0,0
Kakching,86,4.07,0,4.07,2,4.07,14,4.07,9,4.07,177,4.07,78,4.07,159,4.07,18,4.07,11,4.07,1,4.07
Kamjong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kangpokpi,11,0,0,0,0,0,0,0,0,0,130,0,26,0,38,0,25,0,6,0,0,0
Noney,18,0,0,0,16,0,0,0,0,0,0,0,0,0,49,0,19,0,0,0,0,0
Pherzawl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senapati,16,0,4,0,1,0,5,0,0,0,214,0,108,0,90,0,1,0,27,0,0,0
Tamenglong,4,0,0,0,4,0,4,0,3,0,207,0,102,0,12,0,6,0,0,0,0,0
Tengnoupal,182,0,0,0,0,0,0,0,0,0,37,0,5,0,64,0,0,0,0,0,0,0
Thoubal,557,14.86,5,14.86,88,14.86,61,14.86,1,14.86,401,14.86,153,14.86,317,14.86,55,14.86,20,14.86,1,14.86
Ukhrul,5,0,0,0,2,0,21,0,15,0,309,0,154,0,124,0,103,0,0,0,0,0
