district,Inactive CSPs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenti- cated SB accounts,RuPay card issued in KCC
East Garo Hills,5,11519,10950,22854,633
East Jaintia Hills,9,19458,12156,7230,17
East Khasi Hills,179,95185,65238,124369,5409
Eastern West Khasi Hills,3,12254,4373,2029,760
North Garo Hills,1,17472,17218,20050,649
Ri Bhoi,7,27932,14572,16015,7545
South Garo Hills,1,7762,7170,12188,52
South West Garo Hills,8,18084,17268,37312,561
South West Khasi Hills,0,7125,1473,2285,365
West Garo Hills,8,48624,43442,88532,1119
West Jaintia Hills,15,18984,8426,19943,637
West Khasi Hills,10,14339,5074,4367,2488
