district,Agri Total Amount O/S,O/S Agri No. Total,Amt Ancillary,No Ancillary,Agri Amt Infra,Agri No Infra,Farm Loan Credit Amt Term,Term Farm Loan Credit No,Farm Amt Credit Crop,Farm Crop No Credit
East Garo Hills,6000.36,5520,233.07,263,3762.42,1862,134.57,205,1870.3,3190
East Jaintia Hills,4833.36,2703,159.61,128,3371.23,864,592.45,423,710.07,1288
East Khasi Hills,141543.63,31332,4911.7,2118,118337.81,1467,3524.16,5374,14769.96,22373
Eastern West Khasi Hills,5196.94,7864,60.42,54,1075.13,259,495.99,474,3565.4,7077
North Garo Hills,4084.7,6232,81.36,90,1698.52,1961,26.83,26,2277.99,4155
Ri Bhoi,27982.12,35937,750.88,733,5738.07,2308,1886.4,3117,19606.77,29779
South Garo Hills,3101.57,3415,72.19,89,1859.48,1398,313.23,166,856.67,1762
South West Garo Hills,5030.16,7881,60.9,40,2532.33,2626,325.64,938,2111.29,4277
South West Khasi Hills,2673.66,3116,83.98,87,988.71,436,162.8,116,1438.17,2477
West Garo Hills,13670.57,15680,603.98,240,6520.85,3470,1534.13,3822,5011.61,8148
West Jaintia Hills,18812.82,7077,1079.85,202,13384.16,641,969.27,1389,3379.54,4845
West Khasi Hills,6399.57,7621,170.73,214,2224.7,942,74.33,60,3929.81,6405
