district,aadhaar_seeded,female_a_c,male_a_c,rupaycard_issued,rural_a_c,total_a_c,total_deposit,urban_a_c,zero_balance_a_c_s
Alipurduar,204676.0,133157.0,102080.0,186497.0,161425.0,235237.0,73.65,73812.0,25169.0
Bankura,1715711.0,1158047.0,922518.0,1168679.0,1821202.0,2080565.0,963.13,259363.0,112609.0
Birbhum,1748265.0,1230478.0,908052.0,1300085.0,1716214.0,2138530.0,723.46,422316.0,139562.0
Cooch Behar,1221950.0,819415.0,639254.0,1144521.0,1027902.0,1458669.0,329.7,430767.0,86371.0
Dakshin Dinajpur,893916.0,626220.0,468959.0,618024.0,908194.0,1095179.0,294.89,186985.0,70456.0
Hooghly,1877209.0,1291572.0,893107.0,1354586.0,1483976.0,2184679.0,933.23,700703.0,99838.0
Howrah,1579832.0,1100375.0,765073.0,1230846.0,1231796.0,1865448.0,751.28,633652.0,86971.0
Jalpaiguri,1417439.0,968002.0,715288.0,1286594.0,1098724.0,1683290.0,581.12,584566.0,100023.0
Kolkata,623930.0,436871.0,352731.0,576910.0,6292.0,789602.0,303.96,783310.0,73863.0
Malda,2526173.0,1717856.0,1249790.0,1504143.0,2540918.0,2967646.0,924.56,426728.0,262877.0
Murshidabad,3352211.0,2298971.0,1717760.0,2664517.0,2898964.0,4016731.0,1195.38,1117767.0,249035.0
Nadia,2271523.0,1625288.0,1195667.0,1798686.0,1898960.0,2820955.0,984.38,921995.0,189145.0
North 24 Parganas,3322021.0,2320253.0,1655684.0,2642413.0,2313917.0,3975937.0,1598.78,1662020.0,200569.0
Paschim Medinipur,2336142.0,1611155.0,1189436.0,1590858.0,2375645.0,2800591.0,1233.2,424946.0,129107.0
Purba Bardhaman,2750107.0,2097441.0,1274479.0,2138654.0,2331973.0,3371920.0,1075.82,1039947.0,167095.0
Purba Medinipur,2067321.0,1385805.0,1086898.0,1456554.0,2269153.0,2472703.0,1129.32,203550.0,103454.0
Purulia,1534225.0,1009711.0,828183.0,1066609.0,1541732.0,1837894.0,825.73,296162.0,137563.0
South 24 Parganas,3837208.0,2646955.0,1954336.0,2796700.0,3831309.0,4601291.0,1659.1,769982.0,314063.0
Uttar Dinajpur,1936702.0,1373343.0,1067433.0,1224256.0,1921871.0,2440776.0,514.95,518905.0,224015.0
