district,disb_amt,kishore_no,sanc_amt,shishu_no,tarun_no,total_no
Alipurduar,75.2,2722.0,77.77,19956.0,145.0,22823.0
Bankura,116.03,2749.0,125.08,11818.0,477.0,15044.0
Birbhum,189.02,5616.0,204.98,17960.0,563.0,24139.0
Cooch Behar,72.08,2151.0,80.95,14492.0,317.0,16960.0
Dakshin Dinajpur,117.26,4759.0,121.46,21667.0,226.0,26652.0
Hooghly,254.94,6761.0,273.94,27589.0,1023.0,35373.0
Howrah,186.93,5177.0,205.02,19905.0,632.0,25714.0
Jalpaiguri,200.13,7328.0,218.04,39443.0,669.0,47440.0
Jhargram,38.25,1357.0,40.25,3671.0,116.0,5144.0
Kalimpong,2.26,36.0,2.27,126.0,14.0,176.0
Kolkata,323.55,5732.0,341.69,26699.0,1739.0,34170.0
Malda,202.51,6132.0,213.24,33751.0,417.0,40300.0
Murshidabad,399.08,13700.0,416.04,70018.0,884.0,84602.0
Nadia,237.83,6186.0,254.69,32640.0,779.0,39605.0
North 24 Parganas,377.39,11318.0,423.76,43601.0,1394.0,56313.0
Paschim Medinipur,259.89,6951.0,280.07,25164.0,1063.0,33178.0
Purba Bardhaman,219.14,6357.0,232.56,21903.0,772.0,29032.0
Purba Medinipur,301.79,8676.0,335.13,29450.0,1276.0,39402.0
South 24 Parganas,259.63,7340.0,272.81,31146.0,806.0,39292.0
Uttar Dinajpur,119.26,3390.0,125.77,20906.0,334.0,24630.0
