district,aap_target_for_fy_2022_23_no_of_programs,achievement_no_of_programs,total_trained
Bankura,26.0,7.69,7.18
Birbhum,18.0,16.67,15.87
Cooch Behar,16.0,31.25,28.5
Darjeeling,14.0,14.29,19.71
Hooghly,24.0,29.17,22.08
Howrah,29.0,10.34,10.37
Jalpaiguri,18.0,5.56,7.75
Malda,24.0,25.0,24.4
Nadia,25.0,24.0,29.0
North 24 Parganas,28.0,42.86,65.5
Purba Bardhaman,26.0,26.92,25.41
Purba Medinipur,25.0,32.0,26.18
Purulia,21.0,9.52,11.31
South 24 Parganas,25.0,24.0,21.76
Uttar Dinajpur,27.0,14.81,19.35
