district,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total,total_settlement,total_trained,wage_employed
Bankura,54.26,339.0,2303.0,2732.0,70.15,5035.0,5642.0,8043.0,607.0
Birbhum,72.69,250.0,1385.0,3686.0,68.61,5071.0,5079.0,7403.0,8.0
Cooch Behar,53.06,158.0,1235.0,1396.0,70.34,2631.0,2665.0,3789.0,34.0
Dakshin Dinajpur,64.59,233.0,1616.0,2948.0,73.91,4564.0,4770.0,6454.0,206.0
Darjeeling,65.8,125.0,829.0,1595.0,74.56,2424.0,2468.0,3310.0,44.0
Hooghly,86.83,299.0,701.0,4621.0,70.8,5322.0,5322.0,7517.0,0.0
Howrah,26.55,668.0,10031.0,3626.0,84.24,13657.0,14313.0,16991.0,656.0
Jalpaiguri,76.41,283.0,1048.0,3395.0,79.73,4443.0,4707.0,5904.0,264.0
Malda,56.62,255.0,2155.0,2813.0,75.49,4968.0,5562.0,7368.0,594.0
Nadia,46.82,243.0,2164.0,1905.0,67.98,4069.0,4143.0,6094.0,74.0
North 24 Parganas,63.04,308.0,2326.0,3967.0,79.88,6293.0,6417.0,8033.0,124.0
Purba Bardhaman,61.62,281.0,1852.0,2974.0,67.0,4826.0,4826.0,7203.0,0.0
Purba Medinipur,56.01,266.0,2369.0,3016.0,70.75,5385.0,5434.0,7681.0,49.0
Purulia,64.31,207.0,964.0,1737.0,51.0,2701.0,2701.0,5296.0,0.0
South 24 Parganas,76.02,340.0,1370.0,4343.0,65.56,5713.0,5841.0,8909.0,128.0
Uttar Dinajpur,54.19,240.0,1985.0,2348.0,72.83,4333.0,4413.0,6059.0,80.0
