district,achiev,agriculture_target,msme_target,of_achiev,ops_target,total_prisec_target
Alipurduar,255.76,1418.66,496.08,11.0,410.81,2325.55
Bankura,2301.33,4744.7,3995.41,23.48,1059.96,9800.07
Birbhum,1392.42,5254.45,3582.59,13.64,1370.78,10207.82
Cooch Behar,1316.86,4281.89,2075.0,17.56,1143.33,7500.21
Dakshin Dinajpur,2314.96,4524.73,3936.37,24.77,883.75,9344.86
Darjeeling,1217.68,1088.05,1953.44,30.49,951.65,3993.14
Hooghly,3152.75,5368.85,4567.2,27.27,1625.11,11561.16
Howrah,6299.02,2574.37,11397.5,41.32,1271.14,15243.01
Jalpaiguri,726.53,2430.51,2558.81,12.46,843.85,5833.16
Jhargram,1072.35,2786.93,1899.24,19.54,801.52,5487.69
Kalimpong,41.03,319.69,315.43,5.53,106.81,741.93
Kolkata,9781.87,665.06,14546.63,43.01,7534.17,22745.86
Malda,2586.39,6237.69,2644.32,21.33,3246.19,12128.2
Murshidabad,4064.34,8128.64,6246.25,24.24,2390.38,16765.26
Nadia,3901.28,6542.09,6103.12,26.87,1871.57,14516.78
Paschim Bardhaman,1774.6,325.2,5951.01,26.18,503.51,6779.72
Paschim Medinipur,3865.37,9930.06,5213.74,22.47,2056.59,17200.39
Purba Bardhaman,2745.81,8627.61,4655.94,18.38,1654.18,14937.73
Purba Medinipur,3546.12,6073.74,5273.22,26.45,2059.59,13406.56
Purulia,1594.02,3684.63,2935.87,20.23,1257.59,7878.1
Uttar Dinajpur,1386.9,3491.53,1160.42,23.84,1164.45,5816.39
