district,Total Advance,Overall CD Ratio,cd_ratio_as_on_june,cd_ratio_as_on_june_2022_deposit
Alipurduar,3542.8,52.37,41.73,6764.68
Bankura,7727.82,48.99,46.09,15775.0
Birbhum,7911.27,43.36,40.03,18247.14
Cooch Behar,7807.92,78.58,72.76,9935.78
Dakshin Dinajpur,3229.68,63.99,60.95,5046.79
Darjeeling,13386.62,59.01,63.48,22685.71
Hooghly,18627.37,38.15,30.24,48821.39
Howrah,23294.82,43.49,42.01,53559.13
Jalpaiguri,6970.23,59.42,58.35,11731.43
Jhargram,1652.71,40.09,40.05,4122.82
Kalimpong,809.69,44.71,40.02,1810.98
Kolkata,250437.85,59.41,59.68,421545.42
Malda,7685.64,58.48,56.01,13143.36
Murshidabad,9768.65,49.05,42.58,19916.32
Nadia,15779.0,50.11,50.03,31489.0
Paschim Bardhaman,18858.02,42.98,41.19,43872.51
Paschim Medinipur,12031.13,46.34,47.23,25960.61
Purba Bardhaman,13474.31,52.49,44.05,25669.61
Purba Medinipur,13818.92,46.97,45.16,29422.66
Purulia,4037.0,48.92,53.35,8253.0
Uttar Dinajpur,5160.98,60.0,61.22,8601.64
