district,amount,disbursed_no,no_of_active_shgs,sanctioned_no,sponsored_in_fy_22_23,target_fy_22_23_no,total_pending
Alipurduar,0.0,0.0,552.0,0.0,0.0,6.0,0.0
Bankura,0.0,0.0,2425.0,0.0,1.0,9.0,0.0
Birbhum,0.18,12.0,3612.0,11.0,19.0,20.0,0.0
Cooch Behar,0.02,1.0,1641.0,1.0,4.0,13.0,0.0
Dakshin Dinajpur,0.0,0.0,1832.0,0.0,0.0,8.0,0.0
Darjeeling,0.0,0.0,2306.0,0.0,2.0,15.0,1.0
Hooghly,0.03,2.0,6041.0,2.0,10.0,28.0,0.0
Howrah,0.0,0.0,1449.0,0.0,3.0,11.0,0.0
Jalpaiguri,0.0,0.0,1575.0,0.0,2.0,9.0,0.0
Jhargram,0.0,0.0,486.0,0.0,0.0,2.0,0.0
Kalimpong,0.0,0.0,178.0,0.0,0.0,2.0,0.0
Kolkata,0.0,0.0,968.0,0.0,0.0,5.0,0.0
Malda,0.0,0.0,818.0,0.0,9.0,6.0,0.0
Murshidabad,0.0,0.0,5547.0,0.0,5.0,32.0,1.0
Nadia,0.02,1.0,5842.0,1.0,3.0,26.0,0.0
North 24 Parganas,0.03,2.0,15663.0,2.0,3.0,74.0,0.0
Paschim Bardhaman,0.0,0.0,2720.0,0.0,2.0,10.0,0.0
Paschim Medinipur,0.0,0.0,3988.0,0.0,2.0,16.0,0.0
Purba Bardhaman,0.02,1.0,3487.0,1.0,2.0,14.0,0.0
Purba Medinipur,0.0,0.0,3468.0,0.0,2.0,15.0,0.0
Purulia,0.0,0.0,1154.0,0.0,2.0,8.0,1.0
South 24 Parganas,0.02,1.0,3582.0,1.0,4.0,16.0,0.0
Uttar Dinajpur,0.0,0.0,2125.0,0.0,0.0,15.0,0.0
