district,as_on_30_06_2021,as_on_30_06_2022
Alipurduar,41.73,52.37
Bankura,,
Birbhum,,
Cooch Behar,,
Dakshin Dinajpur,,
Darjeeling,63.48,59.01
Hooghly,,
Howrah,,
Jalpaiguri,,
Jhargram,,
Kalimpong,,
Kolkata,59.68,59.41
Malda,,
Murshidabad,42.58,49.05
Nadia,50.03,50.11
North 24 Parganas,35.2,40.33
Paschim Bardhaman,41.19,42.98
Paschim Medinipur,47.23,46.34
Purba Bardhaman,44.05,52.49
Purba Medinipur,45.16,46.97
Purulia,53.35,48.92
South 24 Parganas,44.13,45.18
Uttar Dinajpur,61.22,60.0
