district,total_enrolment_uner_social_security_schemes,total_no_of_apy,total_no_of_pmjjby,total_no_of_pmsby,total_no_pmjdy_a_c
Alipurduar,402046.0,42611.0,96998.0,262437.0,235237.0
Bankura,1040973.0,101596.0,193450.0,745927.0,2080565.0
Birbhum,1304527.0,154695.0,337497.0,812335.0,2138530.0
Cooch Behar,898767.0,127292.0,202010.0,569465.0,1458669.0
Dakshin Dinajpur,548406.0,60641.0,113450.0,374315.0,1095179.0
Hooghly,1519853.0,191196.0,331580.0,997077.0,2184679.0
Howrah,1208568.0,155516.0,278453.0,774599.0,1865448.0
Jalpaiguri,912999.0,120720.0,229845.0,562434.0,1683290.0
Kolkata,1783084.0,143957.0,371033.0,1268094.0,789602.0
Malda,1349435.0,187660.0,275716.0,886059.0,2967646.0
Murshidabad,2297939.0,306445.0,405949.0,1585545.0,4016731.0
Nadia,1515668.0,189893.0,265537.0,1060238.0,2820955.0
North 24 Parganas,2572475.0,294684.0,503592.0,1774199.0,3975937.0
Paschim Medinipur,1674188.0,200448.0,317575.0,1156165.0,2800591.0
Purba Bardhaman,2028239.0,228563.0,467243.0,1332433.0,3371920.0
Purba Medinipur,1450521.0,234064.0,254678.0,961779.0,2472703.0
Purulia,687112.0,76880.0,149687.0,460545.0,1837894.0
South 24 Parganas,1810099.0,217508.0,362759.0,1229832.0,4601291.0
Uttar Dinajpur,828852.0,109102.0,171439.0,548311.0,2440776.0
