district,aap_target_for_fy_2022_23_no_of_programs,achievement_no_of_programs,credit_linkage,no_of_programs,own,self_employed_bank,settlement,total,total_settlement,total_trained,wage_employed
Bankura,26.0,7.69,54.26,339.0,2303.0,2732.0,70.15,5035.0,5642.0,7.18,607.0
Birbhum,18.0,16.67,72.69,250.0,1385.0,3686.0,68.61,5071.0,5079.0,15.87,8.0
Cooch Behar,16.0,31.25,53.06,158.0,1235.0,1396.0,70.34,2631.0,2665.0,28.5,34.0
Dakshin Dinajpur,,,64.59,233.0,1616.0,2948.0,73.91,4564.0,4770.0,6454.0,206.0
Darjeeling,14.0,14.29,65.8,125.0,829.0,1595.0,74.56,2424.0,2468.0,19.71,44.0
Hooghly,24.0,29.17,86.83,299.0,701.0,4621.0,70.8,5322.0,5322.0,22.08,0.0
Howrah,29.0,10.34,26.55,668.0,10031.0,3626.0,84.24,13657.0,14313.0,10.37,656.0
Jalpaiguri,18.0,5.56,76.41,283.0,1048.0,3395.0,79.73,4443.0,4707.0,7.75,264.0
Malda,24.0,25.0,56.62,255.0,2155.0,2813.0,75.49,4968.0,5562.0,24.4,594.0
Nadia,25.0,24.0,46.82,243.0,2164.0,1905.0,67.98,4069.0,4143.0,29.0,74.0
North 24 Parganas,28.0,42.86,63.04,308.0,2326.0,3967.0,79.88,6293.0,6417.0,65.5,124.0
Purba Bardhaman,26.0,26.92,61.62,281.0,1852.0,2974.0,67.0,4826.0,4826.0,25.41,0.0
Purba Medinipur,25.0,32.0,56.01,266.0,2369.0,3016.0,70.75,5385.0,5434.0,26.18,49.0
Purulia,21.0,9.52,64.31,207.0,964.0,1737.0,51.0,2701.0,2701.0,11.31,0.0
South 24 Parganas,25.0,24.0,76.02,340.0,1370.0,4343.0,65.56,5713.0,5841.0,21.76,128.0
Uttar Dinajpur,27.0,14.81,54.19,240.0,1985.0,2348.0,72.83,4333.0,4413.0,19.35,80.0
