district,camp_conducted_by_rural_branches_during_the_quarter_no_of_branches,no_of_camps,no_of_participants,special_camps_conducted_by_flcs_during_the_quarter_no_of_camps,target_specific_camps_conducted_by_flcs_during_the_quarter_no_of_camps
Alipurduar,51.0,225.0,0.0,0.0,0.0
Bankura,168.0,122.0,567.0,11.0,22.0
Birbhum,212.0,90.0,2095.0,26.0,64.0
Cooch Behar,136.0,50.0,1477.0,50.0,50.0
Darjeeling,76.0,60.0,1801.0,3.0,21.0
Hooghly,237.0,69.0,0.0,0.0,0.0
Howrah,115.0,16.0,2553.0,0.0,45.0
Jalpaiguri,79.0,0.0,145.0,1.0,3.0
Jhargram,82.0,6.0,111.0,6.0,6.0
Kalimpong,14.0,0.0,0.0,0.0,0.0
Kolkata,7.0,23.0,0.0,1.0,0.0
Malda,189.0,190.0,180.0,1.0,1.0
Murshidabad,334.0,497.0,0.0,0.0,0.0
Nadia,230.0,24.0,1490.0,12.0,13.0
North 24 Parganas,313.0,727.0,0.0,0.0,0.0
Paschim Bardhaman,91.0,82.0,248.0,0.0,8.0
Paschim Medinipur,248.0,165.0,200.0,2.0,2.0
Purba Bardhaman,203.0,71.0,566.0,2.0,11.0
Purba Medinipur,177.0,26.0,0.0,8.0,0.0
Purulia,158.0,166.0,331.0,7.0,10.0
South 24 Parganas,304.0,319.0,108.0,7.0,3.0
Uttar Dinajpur,78.0,23.0,725.0,0.0,22.0
