district,cluster_adopted_by_banks,inactive_ineligible,no_such_cluster,number_of_clusters,pending
Alipurduar,4.0,0.0,0.0,4.0,0.0
Bankura,25.0,5.0,0.0,30.0,0.0
Birbhum,5.0,14.0,0.0,19.0,0.0
Cooch Behar,16.0,0.0,0.0,16.0,0.0
Dakshin Dinajpur,6.0,0.0,0.0,6.0,0.0
Darjeeling,10.0,3.0,1.0,14.0,0.0
Hooghly,17.0,9.0,0.0,26.0,0.0
Howrah,37.0,0.0,0.0,37.0,0.0
Jalpaiguri,0.0,4.0,0.0,4.0,0.0
Jhargram,5.0,1.0,0.0,6.0,0.0
Kalimpong,4.0,8.0,0.0,12.0,0.0
Kolkata,7.0,0.0,0.0,7.0,0.0
Malda,15.0,8.0,0.0,23.0,0.0
Murshidabad,6.0,32.0,0.0,38.0,0.0
Nadia,62.0,21.0,0.0,83.0,0.0
North 24 Parganas,15.0,12.0,0.0,27.0,0.0
Paschim Bardhaman,3.0,4.0,0.0,7.0,0.0
Paschim Medinipur,11.0,12.0,1.0,24.0,0.0
Purba Bardhaman,38.0,38.0,0.0,76.0,0.0
Purba Medinipur,9.0,25.0,0.0,34.0,0.0
Purulia,7.0,13.0,0.0,20.0,0.0
South 24 Parganas,16.0,3.0,0.0,19.0,0.0
Uttar Dinajpur,18.0,0.0,0.0,18.0,0.0
