district,amount,average_disbursement_amount_in_lakh,disbursement_no,of_achievement_no,outstanding_amount,sanctioned_no,target_2022_23_no
Alipurduar,28.75,1.18,8159.0,65.21,379.28,3583.0,12512.0
Bankura,9.79,1.58,5384.0,17.06,727.21,3520.0,31562.0
Birbhum,14.82,2.12,9574.0,18.59,1032.3,8010.0,51497.0
Cooch Behar,30.21,1.04,23181.0,82.9,1056.75,3390.0,27961.0
Dakshin Dinajpur,8.88,1.19,3085.0,20.32,317.96,1774.0,15181.0
Darjeeling,37.28,1.61,2851.0,60.49,129.34,723.0,4713.0
Hooghly,22.75,1.34,12975.0,42.37,688.23,3506.0,30623.0
Howrah,19.47,1.45,9601.0,38.13,632.97,2927.0,25181.0
Jalpaiguri,33.86,1.4,12984.0,68.55,661.3,4231.0,18941.0
Jhargram,20.8,1.51,4565.0,37.95,236.88,2007.0,12029.0
Kalimpong,38.0,1.82,1442.0,55.5,70.17,382.0,2598.0
Kolkata,100.0,0.37,184.0,100.0,0.0,0.0,0.0
Malda,11.32,1.08,8619.0,28.56,807.46,3254.0,30177.0
Murshidabad,10.3,1.07,8828.0,23.39,926.46,6068.0,37750.0
Nadia,7.31,1.07,5287.0,19.61,605.07,2390.0,26962.0
North 24 Parganas,13.52,1.05,13032.0,33.49,877.71,5552.0,38911.0
Paschim Bardhaman,14.88,1.82,1818.0,16.99,141.82,1131.0,10699.0
Paschim Medinipur,21.32,1.57,13605.0,37.09,967.96,6387.0,36679.0
Purba Bardhaman,12.41,2.18,9517.0,22.14,946.21,7079.0,42991.0
Purba Medinipur,25.14,2.12,16883.0,37.37,1624.07,7820.0,45183.0
Purulia,7.65,1.09,3801.0,16.66,354.0,2280.0,22821.0
South 24 Parganas,19.08,1.29,15200.0,37.87,1038.53,5095.0,40136.0
Uttar Dinajpur,13.22,1.16,4622.0,37.84,517.3,2455.0,12213.0
