district,Enrolment under PMJJBY,Eligible cases under PMJJBY,Renewals under PMJJBY,Enrolment under PMSBY,Eligible cases under PMSBY,Renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Baksa,152401,643582,73492,461961,1105514,360722,36089,650451
Barpeta,52470,913626,28251,162898,1310919,94541,23284,238652
Biswanath,21423,277049,13152,53330,380322,36717,11347,86100
Bongaigaon,21616,248338,15640,81234,369417,51533,8390,111240
Cachar,69954,547984,47241,164063,799576,115562,17211,251228
Charaideo,10629,164225,7580,27550,226103,20019,4137,42316
Chirang,26575,315628,16478,65026,449083,41489,6104,97705
Darrang,37582,528049,21226,99275,763264,59404,10158,147015
Dhemaji,28664,394491,12142,79362,541949,35047,12408,120434
Dhubri,41196,724862,23091,179609,1105949,79066,11428,232233
Dibrugarh,88894,536743,57122,204778,781878,153797,24318,317990
Dima Hasao,9890,75475,8394,24859,100287,22621,611,35360
Goalpara,32481,466461,20053,104829,702546,54505,10097,147407
Golaghat,47283,413500,29302,102325,582510,66551,15333,164941
Hailakandi,19043,276602,11565,49825,382015,29181,5607,74475
Hojai,24834,279254,13213,65888,434027,37368,7427,98149
Jorhat,44661,342330,29251,132803,507443,86993,18300,195764
KARIMGANJ,30126,373535,20593,64002,536990,41695,8794,102922
Kamrup,65144,787712,43265,188345,1123342,135176,25916,279405
Kamrup Metro,156306,775369,120207,325641,1153988,263169,37087,519034
Karbi Anglong,30584,299164,24960,87557,358317,78150,4513,122654
Kokrajhar,36427,468113,24387,79994,686377,51280,5233,121654
Lakhimpur,37536,390617,18869,108126,565929,56808,16151,161813
Majuli,3876,83801,1701,12074,105790,7424,2950,18900
Morigaon,21630,345475,14762,51428,483020,37068,10955,84013
Nagaon,70048,934223,34664,173360,1390436,94411,20725,264133
Nalbari,34239,437290,22415,98961,618307,69792,9564,142764
Sivasagar,62847,278682,38031,122541,416044,82696,10248,195636
Sonitpur,67836,592293,39864,135654,852679,87558,15861,219351
South Salmara,1315,100969,876,6529,136801,2888,648,8492
Tinsukia,49061,506809,32769,132131,712738,102130,17410,198602
Udalguri,41403,525510,20551,84555,743928,47205,5489,131447
West Karbi Anglong,10579,124645,7319,26464,157696,21348,1938,38981
