district,Export Credit Ac,Export Credit Amt,Education (PS) Ac,Education (PS) Amt,Housing (PS) AC,Housing (PS) Amt,Social Infrastructure Ac,Social Infrastructure Amt.,Renewable Energy Acc,Renewable Energy Amt,Informal Credit Ac,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt
Baksa,0,0,7,3.78,60,48.13,1,24,0,0,3,3.6,71,79.50999999999999
Barpeta,0,0,19,10.94,195,483.62,1,0,3,3,7,6.09,225,503.65
Biswanath,0,0,10,9.76,74,140.52,0,0,2,100,2,0.71,88,250.99
Bongaigaon,0,0,14,18.63,97,124.7,5,217.23,2,4.6,0,0,118,365.16
Cachar,0,0,77,50.1,270,532.89,0,0,1,3.5,13,6.17,361,592.66
Charaideo,0,0,3,1,28,38.18,0,0,0,0,0,0,31,39.18
Chirang,0,0,4,3.18,59,151.97,0,0,0,0,0,0,63,155.15
Darrang,0,0,14,17.89,82,116.68,2,3.33,1,1,9,12.99,108,151.89000000000001
Dhemaji,0,0,6,5.16,76,99.4,1,0.9,1,0.37,0,0,84,105.83000000000001
Dhubri,0,0,15,16.02,152,189.94,0,0,1,0.47,0,0,168,206.43
Dibrugarh,0,0,31,37.35,146,416.24,2,5.21,5,9.65,21,32.28,205,500.73
Dima Hasao,0,0,1,0.6,57,64.75,0,0,0,0,3,4.12,61,69.47
Goalpara,0,0,2,1.55,27,36.52,1,5,1,0.43,0,0,31,43.5
Golaghat,0,0,26,23.18,138,252.16,2,54.8,3,3.39,3,1.45,172,334.97999999999996
Hailakandi,0,0,2,2.47,169,72.11,0,0,0,0,1,0.6,172,75.17999999999999
Hojai,0,0,8,7.39,52,86.47,0,0,0,0,0,0,60,93.86
Jorhat,0,0,52,42.62,213,356.63,3,38.12,1,0.5,7,7.29,276,445.16
KARIMGANJ,0,0,7,5.79,49,38.64,0,0,0,0,3,3.9,59,48.33
Kamrup,0,0,51,24.38,239,238.82,2,0,1,7.66,11,10.2,304,281.06
Kamrup Metro,0,0,194,296.55,517,2384.42,0,0,18,44.1,50,61.5,779,2786.57
Karbi Anglong,0,0,8,3.76,333,1623.85,1,0.15,0,0,12,31.01,354,1658.77
Kokrajhar,0,0,5,2.7,83,191.76,0,0,0,0,0,0,88,194.45999999999998
Lakhimpur,0,0,8,11.15,205,934.08,1,0.45,1,1,2,5.9,217,952.58
Majuli,0,0,2,1.27,9,21.36,0,0,0,0,0,0,11,22.63
Morigaon,0,0,4,22.6,38,197.91,0,0,0,0,8,8.13,50,228.64
Nagaon,0,0,13,5.65,220,401.56,1,2,2,1,8,8.63,244,418.84
Nalbari,0,0,22,23.54,165,188.4,1,0.04,1,1,3,3.18,192,216.16
Sivasagar,0,0,14,21.62,193,259.32,1,0.01,0,0,17,27.75,225,308.7
Sonitpur,0,0,28,27.85,286,480.77,2,0.22,2,2,7,7.62,325,518.46
South Salmara,0,0,0,0,1,0.14,0,0,0,0,0,0,1,0.14
Tinsukia,0,0,29,38.87,178,721.55,1,0.13,7,11.17,9,11,224,782.7199999999999
Udalguri,0,0,9,17.77,133,253.95,1,0.4,0,0,0,0,143,272.11999999999995
West Karbi Anglong,0,0,2,2.2,106,468.14,0,0,0,0,0,0,108,470.34
