District,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Baksa,422,186.65,19075,5429.4
Barpeta,245,156.62,25381,9244.42
Biswanath,226,92.55,17628,4177.86
Bongaigaon,56,19.87,12509,4190.13
Cachar,49,16.18,12023,3528.03
Charaideo,85,32,7829,1431.53
Chirang,83,33.3,6080,1571.09
Darrang,270,110.84,17684,5465.44
Dhemaji,335,150.2,22990,5748.43
Dhubri,83,41.68,8777,2042.1
Dibrugarh,528,207.49,45782,10639.92
Dima Hasao,0,0,1,0.32
Goalpara,149,253.51,17460,5484.06
Golaghat,782,348.56,31993,11205.51
Hailakandi,17,5.1,2349,398.61
Hojai,268,104,13321,3249.98
Jorhat,702,296.17,39811,14798.97
Kamrup Metro,1356,637.54,49485,19393.18
Karbi Anglong,1178,400.98,15990,4390.54
Karimganj,47,18.14,7825,2179.74
Kokrajhar,10,38.19,63,102.58
Lakhimpur,513,231.08,42004,11936.1
Majuli,102,41.2,5347,985.7
Morigaon,193,77.26,12622,3646.11
Nagaon,1009,464.89,38017,16089.45
Nalbari,641,319.08,22136,9199.44
Sivasagar,281,107.64,31670,9139.41
Sonitpur,579,259.58,27349,7822.13
South Salmara,0,0,6,2.93
Tinsukia,224,80.46,27809,6515.26
Udalguri,493,202.14,15396,4413.08
West Karbi Anglong,72,25.2,762,228.18
